Task,Origin,Destination,Leg_Count,Legs,Assigned_Fleet,Seat_Capacity_Per_Leg,Seat_Capacity,Task_Capacity,Total_Fly_Minutes,Fly_Minutes,Passenger_Boardings,Expected_Passengers,Total_Sold,Total_Unmet,Expected_Load(%),Load_Factor(%),Attributed_Revenue,Revenue,Operating_Cost,Cost,Attributed_Profit,Profit,Avg_Shadow_Price,Max_Shadow_Price,Shadow_Price_Summary,Product_Count,Is_Overnight_Task,Is_Super_Flight,Recommendation_Tag,Recommendation_Reason
AA0022,TFB,PSE,1,AA0022TFBPSE,F16C0Y165,165,165,165,238,238,165.0,165.0,150.2,25.2,100.0,100.0,27450.0,27450.0,18254.6,18254.6,9195.4,9195.4,6.4225,6.4225,avg=6.42; max=6.42; positive_legs=1,60,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0023,PSE,TFB,1,AA0023PSETFB,F16C0Y165,165,165,165,267,267,165.0,165.0,147.4,119.38,100.0,100.0,32730.3,32730.3,20478.9,20478.9,12251.4,12251.4,8.355,8.355,avg=8.36; max=8.36; positive_legs=1,87,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0024,TFB,CPT,1,AA0024TFBCPT,F0C0Y76,76,76,76,325,325,76.0,76.0,75.33,26.45,100.0,100.0,14626.85,14626.85,12945.83,12945.83,1681.02,1681.02,6.74,6.74,avg=6.74; max=6.74; positive_legs=1,18,1,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0025,CPT,TFB,1,AA0025CPTTFB,F16C0Y165,165,165,165,371,371,165.0,165.0,152.56,47.11,100.0,100.0,31925.01,31925.01,28455.7,28455.7,3469.31,3469.31,7.575,7.575,avg=7.58; max=7.58; positive_legs=1,56,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0026,TFB,PSE,1,AA0026TFBPSE,F0C0Y76,76,76,76,229,229,76.0,76.0,61.45,25.12,100.0,100.0,12140.45,12140.45,9121.83,9121.83,3018.62,3018.62,6.62,6.62,avg=6.62; max=6.62; positive_legs=1,31,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0029,PSE,TFB,1,AA0029PSETFB,F16C0Y165,165,165,165,266,266,165.0,165.0,155.5,28.98,100.0,100.0,26667.1,26667.1,20402.2,20402.2,6264.9,6264.9,6.055,6.055,avg=6.05; max=6.05; positive_legs=1,47,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0030,QEY,CPT,1,AA0030QEYCPT,F16C0Y165,165,165,165,320,320,165.0,165.0,162.33,48.05,100.0,100.0,34740.82,34740.82,24544.0,24544.0,10196.82,10196.82,7.715,7.715,avg=7.72; max=7.72; positive_legs=1,21,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0035,CPT,QEY,1,AA0035CPTQEY,F0C0Y76,76,76,76,381,381,76.0,76.0,73.38,103.8,100.0,100.0,15226.22,15226.22,15176.5,15176.5,49.72,49.72,7.8375,7.8375,avg=7.84; max=7.84; positive_legs=1,21,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0036,TFB,NTQ,1,AA0036TFBNTQ,F16C0Y165,165,165,165,197,197,165.0,165.0,160.18,71.9,100.0,100.0,29220.15,29220.15,15109.9,15109.9,14110.25,14110.25,6.52,6.52,avg=6.52; max=6.52; positive_legs=1,20,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0037,NTQ,TFB,1,AA0037NTQTFB,F16C0Y165,165,165,165,217,217,164.45,164.45,147.2,25.75,99.67,99.67,26061.03,26061.03,16643.9,16643.9,9417.13,9417.13,4.975,4.975,avg=4.98; max=4.98; positive_legs=1,40,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0038,TFB,NTQ,1,AA0038TFBNTQ,F16C0Y165,165,165,165,199,199,165.0,165.0,155.73,67.7,100.0,100.0,27679.12,27679.12,15263.3,15263.3,12415.82,12415.82,5.77,5.77,avg=5.77; max=5.77; positive_legs=1,22,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0039,NTQ,TFB,1,AA0039NTQTFB,F16C0Y165,165,165,165,216,216,164.9,164.9,156.7,27.4,99.94,99.94,25110.33,25110.33,16567.2,16567.2,8543.12,8543.12,4.8925,4.8925,avg=4.89; max=4.89; positive_legs=1,22,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0040,BER,BOD,1,AA0040BERBOD,F12C12Y48,48,48,48,54,54,36.65,36.65,35.75,0.0,76.35,76.35,5544.45,5544.45,1717.2,1717.2,3827.25,3827.25,0.0,0.0,avg=0.00; max=0.00; positive_legs=0,12,0,0,Keep,Current assignment is broadly aligned with observed load and scarcity signals.
AA0041,BOD,CFU,1,AA0041BODCFU,F0C0Y76,76,76,76,73,73,61.5,61.5,61.5,0.1,80.92,80.92,12927.75,12927.75,2907.83,2907.83,10019.92,10019.92,0.1675,0.1675,avg=0.17; max=0.17; positive_legs=1,10,0,0,Keep,Current assignment is broadly aligned with observed load and scarcity signals.
AA0042,CFU,BOD,1,AA0042CFUBOD,F0C0Y76,76,76,76,69,69,18.75,18.75,18.38,0.0,24.67,24.67,3742.03,3742.03,2748.5,2748.5,993.53,993.53,0.0,0.0,avg=0.00; max=0.00; positive_legs=0,10,0,0,Downgauge,"Load is moderate-to-low and shadow price is near zero, suggesting possible excess capacity."
AA0043,BOD,CFU,1,AA0043BODCFU,F0C0Y76,76,76,76,73,73,76.0,76.0,74.25,30.8,100.0,100.0,16732.25,16732.25,2907.83,2907.83,13824.42,13824.42,8.6025,8.6025,avg=8.60; max=8.60; positive_legs=1,21,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0044,CFU,BOD,1,AA0044CFUBOD,F0C0Y76,76,76,76,70,70,65.8,65.8,63.73,0.0,86.58,86.58,15059.03,15059.03,2788.33,2788.33,12270.69,12270.69,0.0,0.0,avg=0.00; max=0.00; positive_legs=0,9,0,0,Keep,Current assignment is broadly aligned with observed load and scarcity signals.
AA0045,BOD,CFU,1,AA0045BODCFU,F0C0Y72,72,72,72,72,72,65.3,65.3,60.15,1.57,90.69,90.69,13150.97,13150.97,2868.0,2868.0,10282.97,10282.97,1.2325,1.2325,avg=1.23; max=1.23; positive_legs=1,39,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0046,CFU,BOD,1,AA0046CFUBOD,F0C0Y72,72,72,72,66,66,43.05,43.05,43.05,0.0,59.79,59.79,9157.5,9157.5,2629.0,2629.0,6528.5,6528.5,0.0,0.0,avg=0.00; max=0.00; positive_legs=0,8,0,0,Downgauge,"Load is moderate-to-low and shadow price is near zero, suggesting possible excess capacity."
AA0047,BOD,BER,1,AA0047BODBER,F12C12Y48,48,48,48,58,58,40.55,40.55,40.55,0.5,84.48,84.48,6706.35,6706.35,1844.4,1844.4,4861.95,4861.95,0.335,0.335,avg=0.34; max=0.34; positive_legs=1,9,0,0,Keep,Current assignment is broadly aligned with observed load and scarcity signals.
AA0048,BER,BOD,1,AA0048BERBOD,F12C12Y48,48,48,48,51,51,38.45,38.45,35.08,0.4,80.1,80.1,6613.23,6613.23,1621.8,1621.8,4991.43,4991.43,0.625,0.625,avg=0.62; max=0.62; positive_legs=1,14,0,0,Keep,Current assignment is broadly aligned with observed load and scarcity signals.
AA0049,BOD,BER,1,AA0049BODBER,F12C12Y48,48,48,48,57,57,40.4,40.4,36.02,0.6,84.17,84.17,6780.65,6780.65,1812.6,1812.6,4968.05,4968.05,0.7575,0.7575,avg=0.76; max=0.76; positive_legs=1,40,0,0,Keep,Current assignment is broadly aligned with observed load and scarcity signals.
AA0053,BOD,TDD,1,AA0053BODTDD,F0C0Y76,76,76,76,103,103,54.8,54.8,53.5,0.0,72.11,72.11,19985.91,19985.91,4102.83,4102.83,15883.07,15883.07,0.0,0.0,avg=0.00; max=0.00; positive_legs=0,13,0,0,Keep,Current assignment is broadly aligned with observed load and scarcity signals.
AA0054,TDD,BOD,1,AA0054TDDBOD,F0C0Y76,76,76,76,102,102,67.75,67.75,67.55,0.55,89.14,89.14,24597.35,24597.35,4063.0,4063.0,20534.35,20534.35,1.71,1.71,avg=1.71; max=1.71; positive_legs=1,4,0,0,Keep,Current assignment is broadly aligned with observed load and scarcity signals.
AA0056,KOV,TFB,1,AA0056KOVTFB,F0C0Y76,76,76,76,142,142,28.45,28.45,27.87,0.0,37.43,37.43,5811.4,5811.4,5656.33,5656.33,155.07,155.07,0.0,0.0,avg=0.00; max=0.00; positive_legs=0,8,0,0,Downgauge,"Load is moderate-to-low and shadow price is near zero, suggesting possible excess capacity."
AA0059,TFB,KOV,1,AA0059TFBKOV,F0C0Y76,76,76,76,145,145,74.75,74.75,68.7,4.9,98.36,98.36,16234.23,16234.23,5775.83,5775.83,10458.39,10458.39,4.665,4.665,avg=4.66; max=4.66; positive_legs=1,15,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0072,KOV,TFB,1,AA0072KOVTFB,F16C0Y165,165,165,165,138,138,127.05,127.05,104.3,0.0,77.0,77.0,24010.85,24010.85,10584.6,10584.6,13426.25,13426.25,0.0,0.0,avg=0.00; max=0.00; positive_legs=0,41,0,0,Keep,Current assignment is broadly aligned with observed load and scarcity signals.
AA0075,TFB,KOV,1,AA0075TFBKOV,F16C0Y165,165,165,165,145,145,148.9,148.9,122.2,0.93,90.24,90.24,28316.5,28316.5,11121.5,11121.5,17195.0,17195.0,0.7525,0.7525,avg=0.75; max=0.75; positive_legs=1,86,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0076,KOV,TFB,1,AA0076KOVTFB,F0C0Y76,76,76,76,140,140,65.6,65.6,60.7,0.6,86.32,86.32,13841.05,13841.05,5576.67,5576.67,8264.38,8264.38,1.165,1.165,avg=1.16; max=1.16; positive_legs=1,28,0,0,Keep,Current assignment is broadly aligned with observed load and scarcity signals.
AA0079,TFB,KOV,1,AA0079TFBKOV,F0C0Y76,76,76,76,149,149,76.0,76.0,59.44,40.35,100.0,100.0,16235.41,16235.41,5935.17,5935.17,10300.24,10300.24,9.265,9.265,avg=9.26; max=9.26; positive_legs=1,73,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0080,BOD,TFB,1,AA0080BODTFB,F0C0Y76,76,76,76,205,205,68.35,68.35,45.52,0.33,89.93,89.93,12187.71,12187.71,8165.83,8165.83,4021.88,4021.88,0.36,0.36,avg=0.36; max=0.36; positive_legs=1,68,0,0,Keep,Current assignment is broadly aligned with observed load and scarcity signals.
AA0081,TFB,BOD,1,AA0081TFBBOD,F0C0Y76,76,76,76,211,211,76.0,76.0,67.92,35.98,100.0,100.0,21861.55,21861.55,8404.83,8404.83,13456.72,13456.72,11.14,11.14,avg=11.14; max=11.14; positive_legs=1,20,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0082,BOD,TFB,1,AA0082BODTFB,F16C0Y165,165,165,165,204,204,81.95,81.95,57.92,0.07,49.67,49.67,14895.45,14895.45,15646.8,15646.8,-751.35,-751.35,0.0,0.0,avg=0.00; max=0.00; positive_legs=0,60,0,0,Review_Schedule,"Low load, weak scarcity signal, and limited commercial support suggest a schedule review."
AA0083,TFB,BOD,1,AA0083TFBBOD,F16C0Y165,165,165,165,210,210,165.0,165.0,127.14,73.03,100.0,100.0,40984.32,40984.32,16107.0,16107.0,24877.32,24877.32,10.8925,10.8925,avg=10.89; max=10.89; positive_legs=1,98,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0084,BOD,TFB,1,AA0084BODTFB,F16C0Y165,165,165,165,200,200,91.75,91.75,67.7,0.17,55.61,55.61,18107.42,18107.42,15340.0,15340.0,2767.42,2767.42,0.0,0.0,avg=0.00; max=0.00; positive_legs=0,69,0,0,Downgauge,"Load is moderate-to-low and shadow price is near zero, suggesting possible excess capacity."
AA0086,BOD,TFB,1,AA0086BODTFB,F0C0Y76,76,76,76,205,205,62.4,62.4,55.0,0.15,82.11,82.11,13381.62,13381.62,8165.83,8165.83,5215.79,5215.79,0.36,0.36,avg=0.36; max=0.36; positive_legs=1,18,0,0,Keep,Current assignment is broadly aligned with observed load and scarcity signals.
AA0087,TFB,BOD,1,AA0087TFBBOD,F16C0Y165,165,165,165,202,202,165.0,165.0,115.75,42.47,100.0,100.0,40979.63,40979.63,15493.4,15493.4,25486.23,25486.23,10.995,10.995,avg=11.00; max=11.00; positive_legs=1,256,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0089,TFB,BOD,1,AA0089TFBBOD,F16C0Y165,165,165,165,210,210,165.0,165.0,125.19,24.5,100.0,100.0,39558.49,39558.49,16107.0,16107.0,23451.49,23451.49,8.015,8.015,avg=8.02; max=8.02; positive_legs=1,210,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0090,BOD,TFB,1,AA0090BODTFB,F0C0Y76,76,76,76,204,204,60.9,60.9,44.49,0.0,80.13,80.13,11885.12,11885.12,8126.0,8126.0,3759.12,3759.12,0.0,0.0,avg=0.00; max=0.00; positive_legs=0,58,0,0,Keep,Current assignment is broadly aligned with observed load and scarcity signals.
AA0092,BOD,TFB,1,AA0092BODTFB,F16C0Y165,165,165,165,200,200,109.05,109.05,87.14,0.0,66.09,66.09,25017.99,25017.99,15340.0,15340.0,9677.99,9677.99,0.0,0.0,avg=0.00; max=0.00; positive_legs=0,72,0,0,Downgauge,"Load is moderate-to-low and shadow price is near zero, suggesting possible excess capacity."
AA0093,TFB,BOD,1,AA0093TFBBOD,F16C0Y165,165,165,165,215,215,165.0,165.0,127.58,16.49,100.0,100.0,34303.99,34303.99,16490.5,16490.5,17813.49,17813.49,6.7525,6.7525,avg=6.75; max=6.75; positive_legs=1,197,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0094,BOD,TFB,1,AA0094BODTFB,F16C0Y165,165,165,165,205,205,81.35,81.35,68.9,0.4,49.3,49.3,22159.05,22159.05,15723.5,15723.5,6435.55,6435.55,0.0,0.0,avg=0.00; max=0.00; positive_legs=0,18,0,0,Downgauge,"Load is moderate-to-low and shadow price is near zero, suggesting possible excess capacity."
AA0095,TFB,BOD,1,AA0095TFBBOD,F0C0Y76,76,76,76,211,211,76.0,76.0,45.93,39.67,100.0,100.0,15221.78,15221.78,8404.83,8404.83,6816.94,6816.94,10.31,10.31,avg=10.31; max=10.31; positive_legs=1,47,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0096,BOD,TFB,1,AA0096BODTFB,F0C0Y76,76,76,76,205,205,73.5,73.5,53.55,4.35,96.71,96.71,13423.1,13423.1,8165.83,8165.83,5257.27,5257.27,3.73,3.73,avg=3.73; max=3.73; positive_legs=1,42,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0097,TFB,BOD,1,AA0097TFBBOD,F16C0Y165,165,165,165,209,209,165.0,165.0,131.64,31.73,100.0,100.0,39720.4,39720.4,16030.3,16030.3,23690.1,23690.1,8.795,8.795,avg=8.79; max=8.79; positive_legs=1,295,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0098,BOD,TFB,1,AA0098BODTFB,F0C0Y76,76,76,76,202,202,55.95,55.95,49.55,0.0,73.62,73.62,12717.51,12717.51,8046.33,8046.33,4671.17,4671.17,0.0,0.0,avg=0.00; max=0.00; positive_legs=0,32,0,0,Keep,Current assignment is broadly aligned with observed load and scarcity signals.
AA0099,TFB,BOD,1,AA0099TFBBOD,F16C0Y165,165,165,165,207,207,165.0,165.0,130.12,23.93,100.0,100.0,39072.11,39072.11,15876.9,15876.9,23195.21,23195.21,8.8275,8.8275,avg=8.83; max=8.83; positive_legs=1,184,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0101,TFB,BOD,1,AA0101TFBBOD,F16C0Y165,165,165,165,212,212,162.6,162.6,110.38,6.46,98.55,98.55,30009.96,30009.96,16260.4,16260.4,13749.56,13749.56,4.9175,4.9175,avg=4.92; max=4.92; positive_legs=1,191,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0103,TFB,BOD,1,AA0103TFBBOD,F16C0Y165,165,165,165,211,211,157.9,157.9,116.72,2.9,95.7,95.7,28997.96,28997.96,16183.7,16183.7,12814.26,12814.26,2.15,2.15,avg=2.15; max=2.15; positive_legs=1,138,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0104,BOD,TFB,1,AA0104BODTFB,F0C0Y76,76,76,76,197,197,41.35,41.35,40.33,0.0,54.41,54.41,9938.65,9938.65,7847.17,7847.17,2091.48,2091.48,0.0,0.0,avg=0.00; max=0.00; positive_legs=0,13,0,0,Downgauge,"Load is moderate-to-low and shadow price is near zero, suggesting possible excess capacity."
AA0106,BOD,TFB,1,AA0106BODTFB,F16C0Y165,165,165,165,202,202,44.05,44.05,34.3,0.0,26.7,26.7,15618.27,15618.27,15493.4,15493.4,124.87,124.87,0.0,0.0,avg=0.00; max=0.00; positive_legs=0,15,1,0,Downgauge,"Load is moderate-to-low and shadow price is near zero, suggesting possible excess capacity."
AA0107,TFB,BOD,1,AA0107TFBBOD,F0C0Y76,76,76,76,210,210,76.0,76.0,50.13,61.22,100.0,100.0,15262.62,15262.62,8365.0,8365.0,6897.62,6897.62,10.1675,10.1675,avg=10.17; max=10.17; positive_legs=1,112,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0108,BOD,TFB,1,AA0108BODTFB,F0C0Y76,76,76,76,209,209,76.0,76.0,74.63,9.48,100.0,100.0,17865.15,17865.15,8325.17,8325.17,9539.98,9539.98,6.96,6.96,avg=6.96; max=6.96; positive_legs=1,24,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0109,TFB,BOD,1,AA0109TFBBOD,F0C0Y76,76,76,76,208,208,76.0,76.0,55.28,63.52,100.0,100.0,17028.57,17028.57,8285.33,8285.33,8743.24,8743.24,10.705,10.705,avg=10.71; max=10.71; positive_legs=1,156,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0111,TFB,BOD,1,AA0111TFBBOD,F0C0Y76,76,76,76,214,214,76.0,76.0,55.42,21.05,100.0,100.0,14187.84,14187.84,8524.33,8524.33,5663.51,5663.51,7.2475,7.2475,avg=7.25; max=7.25; positive_legs=1,80,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0112,BOD,TFB,1,AA0112BODTFB,F0C0Y76,76,76,76,205,205,69.75,69.75,45.42,0.62,91.78,91.78,11828.27,11828.27,8165.83,8165.83,3662.43,3662.43,0.965,0.965,avg=0.97; max=0.97; positive_legs=1,92,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0114,BOD,TFB,1,AA0114BODTFB,F0C0Y76,76,76,76,200,200,65.95,65.95,43.68,0.15,86.78,86.78,11419.77,11419.77,7966.67,7966.67,3453.11,3453.11,0.285,0.285,avg=0.28; max=0.28; positive_legs=1,92,0,0,Keep,Current assignment is broadly aligned with observed load and scarcity signals.
AA0117,TFB,BOD,1,AA0117TFBBOD,F0C0Y76,76,76,76,215,215,75.75,75.75,64.72,20.18,99.67,99.67,16542.65,16542.65,8564.17,8564.17,7978.48,7978.48,10.4525,10.4525,avg=10.45; max=10.45; positive_legs=1,12,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0119,TFB,BOD,1,AA0119TFBBOD,F16C0Y165,165,165,165,211,211,164.7,164.7,124.11,20.31,99.82,99.82,30599.9,30599.9,16183.7,16183.7,14416.2,14416.2,7.1925,7.1925,avg=7.19; max=7.19; positive_legs=1,163,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
AA0120,BOD,TFB,1,AA0120BODTFB,F16C0Y165,165,165,165,205,205,165.0,165.0,116.3,17.43,100.0,100.0,30303.35,30303.35,15723.5,15723.5,14579.85,14579.85,6.8675,6.8675,avg=6.87; max=6.87; positive_legs=1,127,0,0,Upgauge_or_AddCapacity,High load and positive shadow-price signal suggest scarce capacity on this task.
