Leg,Parent_Task,Assigned_Fleet,Seat_Capacity,Expected_Passengers,Expected_Load(%),P5_Load(%),P95_Load(%),Bottleneck_Freq(%)
AA0139PSEBOD,AA0139,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2635TFBQEY,super_BA2635,F0C0Y76,76,75.0,98.68,91.91,100.0,85.0
BA2455CAOTFB,BA2455,F0C0Y76,76,75.7,99.61,98.42,100.0,90.0
BA2078MBYTKD,BA2078,F0C0Y76,76,75.45,99.28,97.24,100.0,75.0
AA0066ZBLKOV,super_AA0066,F12C12Y48,48,9.45,19.69,10.42,27.5,0.0
BA2265ZWSTFB,BA2265,F16C0Y165,165,109.5,66.36,58.21,75.33,0.0
BA2386TFBZZK,BA2386,F16C0Y165,165,128.3,77.76,66.48,89.79,0.0
AA0520TFBCVS,AA0520,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0038TFBNTQ,AA0038,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
BA2192TFBHFH,BA2192,F0C0Y76,76,54.05,71.12,58.82,86.84,0.0
AA3482TFBTCB,AA3482,F0C0Y76,76,71.15,93.62,77.43,100.0,45.0
BA2045TFBQEY,BA2045,F12C12Y48,48,46.85,97.6,89.48,100.0,70.0
AA0730BODTFB,super_AA0730,F16C0Y165,165,119.9,72.67,65.24,80.3,0.0
BA2046QEYTFB,BA2046,F0C0Y76,76,54.95,72.3,58.95,93.75,5.0
AA0018TFBNDP,AA0018,F16C0Y165,165,164.65,99.79,99.79,100.0,95.0
AA0679EFOTFB,AA0679,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA0859TFBIOM,AA0859,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
BA2179TFBSEN,BA2179,F0C0Y76,76,70.05,92.17,76.05,100.0,30.0
BA2451ZWSQEY,BA2451,F12C12Y48,48,34.45,71.77,55.94,93.85,0.0
BA2483CMJTFB,BA2483,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0251TKEMBY,AA0251,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
BA2537QEYCPJ,BA2537,F0C0Y76,76,63.1,83.03,68.36,96.05,0.0
BA2083QEYSEN,BA2083,F12C12Y48,48,47.9,99.79,99.79,100.0,95.0
AA0111TFBBOD,AA0111,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0304TFBTGP,AA0304,F16C0Y165,165,142.3,86.24,73.09,100.0,10.0
AA3472TFBMHC,AA3472,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0030QEYCPT,AA0030,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA0014TFBFXS,AA0014,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0621MBTQEY,AA0621,F16C0Y165,165,160.85,97.48,85.3,100.0,65.0
AA0052GBJBOD,super_AA0052,F12C12Y48,48,33.1,68.96,51.67,85.94,0.0
AA0073TJUKOV,super_AA0073,F0C0Y76,76,30.75,40.46,28.75,46.51,0.0
BA2026QEYTFB,BA2026,F0C0Y76,76,64.85,85.33,67.04,100.0,10.0
AA0671BVTTFB,AA0671,F16C0Y165,165,164.4,99.64,99.64,100.0,95.0
BA2106TFBQTD,BA2106,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0731TFBBOD,super_AA0731,F16C0Y165,165,132.25,80.15,69.45,88.55,0.0
AA0472TFBTBO,AA0472,F16C0Y165,165,132.3,80.18,69.55,86.97,0.0
AA0630TFBQIY,AA0630,F16C0Y165,165,164.9,99.94,99.39,100.0,90.0
BA2148TFBCPJ,BA2148,F16C0Y165,165,110.9,67.21,62.58,74.18,0.0
AA0190GBJBOD,AA0190,F0C0Y76,76,74.9,98.55,90.79,100.0,80.0
BA2136TFBCPJ,BA2136,F16C0Y165,165,128.0,77.58,65.33,88.48,0.0
BA2014QEYTFB,BA2014,F16C0Y165,165,164.55,99.73,99.73,100.0,95.0
AA0329TKDTFB,AA0329,F16C0Y165,165,159.45,96.64,87.88,100.0,50.0
BA2347NTPTFB,BA2347,F16C0Y165,165,147.65,89.48,76.94,100.0,10.0
BA2409ZWSTFB,BA2409,F0C0Y76,76,63.95,84.14,72.24,96.25,5.0
BA2133CPJTFB,BA2133,F0C0Y76,76,67.8,89.21,74.54,100.0,25.0
BA2378TFBHFH,BA2378,F0C0Y76,76,67.6,88.95,71.84,100.0,25.0
AA0618TFBMBT,AA0618,F16C0Y165,165,87.95,53.3,45.3,60.73,0.0
AA0234TGPTKE,super_AA0234,F16C0Y165,165,68.55,41.55,35.15,47.91,0.0
AA0665EGXTFB,AA0665,F16C0Y165,165,150.9,91.45,78.76,100.0,30.0
AA0037NTQTFB,AA0037,F16C0Y165,165,164.45,99.67,99.67,100.0,95.0
AA0494TFBTBO,AA0494,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0062KOVTJU,super_AA0062,F0C0Y76,76,34.3,45.13,35.53,54.54,0.0
AA0558TFBQTQ,AA0558,F16C0Y165,165,129.8,78.67,59.21,100.0,10.0
AA0477MBYTFB,AA0477,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0452TFBMBY,AA0452,F16C0Y165,165,159.4,96.61,89.67,100.0,40.0
AA0636TFBQIY,AA0636,F16C0Y165,165,127.7,77.39,70.79,86.0,0.0
AA0069LUOKOV,super_AA0069,F12C12Y48,48,19.8,41.25,31.04,50.52,0.0
BA2426TFBCPJ,BA2426,F0C0Y76,76,75.7,99.61,98.42,100.0,90.0
BA2242TFBZWS,BA2242,F0C0Y76,76,72.75,95.72,86.84,100.0,50.0
AA0474TFBMBY,AA0474,F16C0Y165,165,146.8,88.97,77.58,100.0,20.0
AA0706ZWSMBY,AA0706,F16C0Y165,165,149.7,90.73,77.58,99.42,5.0
BA2371HFHTFB,BA2371,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0065XSHQTH,super_AA0065,F0C0Y76,76,0.4,0.53,0.0,1.32,0.0
BA2193HFHTFB,BA2193,F12C12Y48,48,47.9,99.79,99.79,100.0,95.0
BA2151TFBQEY,BA2151,F16C0Y165,165,94.75,57.42,51.48,63.39,0.0
BA2250SOPTFB,BA2250,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2324TFBHUG,super_BA2324,F12C12Y48,48,46.4,96.67,85.21,100.0,60.0
BA2358QEYHFH,BA2358,F0C0Y76,76,60.75,79.93,62.7,98.75,5.0
AA3481TCBTFB,AA3481,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2314TFBZWS,BA2314,F0C0Y76,76,68.55,90.2,78.68,100.0,35.0
AA0245MBYTFB,super_AA0245,F16C0Y165,165,153.85,93.24,78.39,100.0,45.0
BA2382TFBZZK,BA2382,F0C0Y76,76,21.05,27.7,19.54,36.97,0.0
BA2355HFHQEY,BA2355,F0C0Y76,76,75.5,99.34,95.79,100.0,90.0
AA0317QTQTGP,super_AA0317,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA0231TGPTFB,super_AA0231,F0C0Y76,76,75.55,99.41,99.41,100.0,95.0
BA2055TFBQEY,BA2055,F0C0Y72,72,53.65,74.51,58.19,90.42,0.0
BA2057TFBQEY,BA2057,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0373TNGTFB,AA0373,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
BA2225HFHTFB,BA2225,F0C0Y76,76,44.45,58.49,48.62,68.88,0.0
BA2411HFHTFB,BA2411,F0C0Y76,76,73.45,96.64,90.39,100.0,50.0
AA0708ZWSMBY,AA0708,F0C0Y76,76,74.65,98.22,84.08,100.0,85.0
AA3460QEYPOU,AA3460,F0C0Y76,76,73.65,96.91,83.55,100.0,70.0
BA2383ZZKTFB,BA2383,F16C0Y165,165,108.3,65.64,58.09,77.06,0.0
AA0042CFUBOD,AA0042,F0C0Y76,76,18.75,24.67,15.79,34.28,0.0
BA2541QEYTNG,BA2541,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2215MXTQVX,super_BA2215,F0C0Y76,76,0.95,1.25,0.0,3.95,0.0
BA2500TGPQEY,BA2500,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2579ZFHTFB,BA2579,F0C0Y76,76,50.45,66.38,53.95,79.08,0.0
AA0233TBOTFB,super_AA0233,F16C0Y165,165,118.85,72.03,61.0,80.82,0.0
BA2495HFHTFB,BA2495,F0C0Y72,72,65.45,90.9,77.29,100.0,30.0
AA0245NFYMBY,super_AA0245,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
BA2168QTQTKD,super_BA2168,F0C0Y76,76,63.75,83.88,73.55,98.75,5.0
AA0051BODGBJ,super_AA0051,F12C12Y48,48,48.0,100.0,100.0,100.0,100.0
AA0754TFBTUM,AA0754,F16C0Y165,165,164.5,99.7,99.7,100.0,95.0
AA3477MHCTFB,AA3477,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0059TFBKOV,AA0059,F0C0Y76,76,74.75,98.36,93.42,100.0,65.0
AA0372TFBTNG,AA0372,F0C0Y76,76,75.5,99.34,99.34,100.0,95.0
AA0516TFBTOB,AA0516,F0C0Y76,76,75.4,99.21,99.21,100.0,95.0
BA2445HFHTFB,BA2445,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2352QEYHFH,BA2352,F0C0Y76,76,56.9,74.87,57.11,93.75,5.0
AA3296BODEVU,AA3296,F12C12Y48,48,41.95,87.4,74.69,100.0,15.0
BA2092NGSQEY,super_BA2092,F0C0Y76,76,62.3,81.97,67.04,97.5,5.0
BA2107QTDTFB,BA2107,F0C0Y76,76,42.55,55.99,43.16,70.07,0.0
BA2473TUTMBT,super_BA2473,F0C0Y76,76,73.85,97.17,83.82,100.0,70.0
AA3294BODEVU,AA3294,F12C12Y48,48,35.55,74.06,56.25,91.77,0.0
AA0631QIYTFB,AA0631,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2486TFBCMJ,BA2486,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2604MBQMBY,BA2604,F0C0Y76,76,74.95,98.62,91.71,100.0,85.0
AA0112BODTFB,AA0112,F0C0Y76,76,69.75,91.78,76.25,100.0,35.0
AA0080BODTFB,AA0080,F0C0Y76,76,68.35,89.93,74.8,100.0,10.0
AA0327TKDTFB,AA0327,F16C0Y165,165,154.5,93.64,81.7,100.0,50.0
AA0845CMJIOM,AA0845,F16C0Y165,165,154.2,93.45,82.27,100.0,40.0
BA2056QEYTFB,BA2056,F0C0Y72,72,60.7,84.31,69.31,100.0,10.0
AA0231QWSTGP,super_AA0231,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0109TFBBOD,AA0109,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0312TFBTGP,super_AA0312,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0479MBYQEY,AA0479,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA0487TBOTFB,AA0487,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2259TFBSOP,BA2259,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0676TFBEFO,AA0676,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
BA2474TUTTFB,super_BA2474,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0404QEYTKD,AA0404,F0C0Y76,76,75.25,99.01,93.42,100.0,85.0
AA3464QEYPOU,AA3464,F0C0Y76,76,63.35,83.36,64.28,100.0,10.0
BA2105QTDTFB,BA2105,F0C0Y76,76,75.85,99.8,99.8,100.0,95.0
AA0527CVSTFB,AA0527,F16C0Y165,165,162.2,98.3,93.18,100.0,75.0
BA2047TFBQEY,BA2047,F0C0Y72,72,65.75,91.32,81.6,100.0,20.0
AA0580QEYTOB,AA0580,F16C0Y165,165,160.95,97.55,89.0,100.0,55.0
AA0212MBYNAU,AA0212,F16C0Y165,165,163.85,99.3,99.3,100.0,95.0
BA2034SENQEY,BA2034,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0401TKDQEY,AA0401,F0C0Y76,76,74.0,97.37,90.66,100.0,65.0
AA0569MBYQEY,AA0569,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA0234QEYTGP,super_AA0234,F16C0Y165,165,160.55,97.3,93.12,100.0,45.0
BA2132QEYTFB,BA2132,F0C0Y76,76,65.55,86.25,72.17,96.25,5.0
BA2472MBYTUT,BA2472,F0C0Y76,76,75.85,99.8,98.62,100.0,90.0
BA2430TFBZMX,BA2430,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0226TKDHEM,super_AA0226,F16C0Y165,165,133.7,81.03,68.91,98.85,5.0
AA0011FXSTFB,AA0011,F16C0Y165,165,163.8,99.27,97.82,100.0,80.0
AA0512TFBTOB,AA0512,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
BA2565QEYTNG,BA2565,F16C0Y165,165,143.15,86.76,70.21,99.42,5.0
BA2384TFBZZK,BA2384,F0C0Y76,76,58.05,76.38,57.83,92.17,0.0
AA0060LUOTFB,super_AA0060,F12C12Y48,48,44.45,92.6,79.06,100.0,45.0
AA0836IOMPBL,AA0836,F16C0Y165,165,164.75,99.85,98.76,100.0,90.0
BA2545TFBQEY,BA2545,F16C0Y165,165,65.65,39.79,25.45,46.27,0.0
AA0061KOVZBL,super_AA0061,F12C12Y48,48,28.55,59.48,43.12,71.04,0.0
AA0566QEYMBY,AA0566,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2644PBLQEY,super_BA2644,F0C0Y76,76,74.1,97.5,89.01,100.0,70.0
BA2609FVHQEY,super_BA2609,F0C0Y76,76,73.2,96.32,82.7,100.0,70.0
BA2091QEYNGS,BA2091,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0841PBLPHH,AA0841,F16C0Y165,165,156.4,94.79,76.24,100.0,65.0
AA0256MBYNFY,AA0256,F16C0Y165,165,161.9,98.12,89.64,100.0,80.0
BA2119ZZDTFB,BA2119,F0C0Y76,76,33.9,44.61,36.51,54.34,0.0
BA2614TGPQEY,BA2614,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0347PBLTFB,AA0347,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0137QEYBOD,AA0137,F16C0Y165,165,164.75,99.85,99.85,100.0,95.0
AA0661EGXTFB,AA0661,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA0604TFBMBT,AA0604,F16C0Y165,165,163.25,98.94,93.79,100.0,85.0
AA0877QEYIOM,AA0877,F16C0Y165,165,148.8,90.18,73.3,100.0,20.0
AA3474TFBMHC,AA3474,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0064LUOTFB,super_AA0064,F0C0Y76,76,19.8,26.05,19.47,33.16,0.0
AA0104BODTFB,AA0104,F0C0Y76,76,41.35,54.41,39.34,67.57,0.0
AA0083TFBBOD,AA0083,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA0151PUAPNF,super_AA0151,F12C12Y48,48,0.35,0.73,0.0,2.19,0.0
AA0613MBTTFB,AA0613,F16C0Y165,165,161.1,97.64,88.85,100.0,55.0
AA0563MBYQEY,AA0563,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA0895TKDPHH,AA0895,F16C0Y165,165,164.15,99.48,97.3,100.0,90.0
BA2249HFHTFB,BA2249,F12C12Y48,48,46.4,96.67,83.33,100.0,65.0
BA2539TFBGBU,BA2539,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0810LPBTFB,AA0810,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA0227HEMTKD,super_AA0227,F16C0Y165,165,164.3,99.58,99.58,100.0,95.0
BA2517QEYTGP,BA2517,F0C0Y76,76,75.65,99.54,99.54,100.0,95.0
AA0244TFBMBY,super_AA0244,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
BA2484TFBCMJ,BA2484,F12C12Y48,48,10.3,21.46,12.29,29.69,0.0
AA3463POUQEY,AA3463,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2181TFBQEY,BA2181,F0C0Y76,76,68.9,90.66,72.11,100.0,30.0
AA0823PBLLPB,AA0823,F16C0Y165,165,160.65,97.36,89.03,100.0,65.0
AA0707MBYZWS,AA0707,F0C0Y76,76,75.05,98.75,88.09,100.0,90.0
BA2637TFBPBL,BA2637,F0C0Y76,76,74.55,98.09,90.53,100.0,75.0
AA0055BODGBJ,super_AA0055,F12C12Y48,48,45.5,94.79,81.04,100.0,55.0
AA0703MBYZWS,AA0703,F16C0Y165,165,151.05,91.55,78.88,100.0,40.0
BA2109QTDTFB,BA2109,F0C0Y76,76,46.7,61.45,44.28,74.21,0.0
AA0625MBTQEY,AA0625,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
BA2237CPJTFB,BA2237,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0515TOBTFB,AA0515,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0062LUOTFB,super_AA0062,F0C0Y76,76,50.4,66.32,53.68,75.07,0.0
AA0093TFBBOD,AA0093,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
BA2273TFBSEN,BA2273,F0C0Y76,76,68.75,90.46,77.5,100.0,25.0
AA0232TFBTBO,super_AA0232,F16C0Y165,165,126.9,76.91,66.64,91.52,0.0
AA3461POUQEY,AA3461,F0C0Y76,76,69.5,91.45,80.13,100.0,20.0
AA3476TFBMHC,AA3476,F0C0Y76,76,73.95,97.3,86.51,100.0,70.0
AA0254MBYQWS,AA0254,F16C0Y165,165,163.9,99.33,99.33,100.0,95.0
AA0461MBYTFB,AA0461,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA0482TFBTBO,AA0482,F16C0Y165,165,154.7,93.76,84.18,100.0,30.0
AA3295EVUBOD,AA3295,F12C12Y48,48,36.55,76.15,58.12,100.0,15.0
BA2096TFBBMX,BA2096,F12C12Y48,48,47.75,99.48,97.6,100.0,90.0
AA0619MBTTFB,AA0619,F16C0Y165,165,164.85,99.91,99.91,100.0,95.0
AA0517TOBTFB,AA0517,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0152PUABOD,super_AA0152,F0C0Y76,76,58.05,76.38,65.66,92.5,5.0
AA3462QEYPOU,AA3462,F16C0Y165,165,138.65,84.03,72.58,94.18,0.0
BA2513QEYCPJ,BA2513,F12C12Y48,48,47.35,98.65,91.46,100.0,80.0
AA0731JBITFB,super_AA0731,F16C0Y165,165,164.0,99.39,96.67,100.0,90.0
BA2104TFBQTD,BA2104,F0C0Y76,76,37.85,49.8,36.71,58.16,0.0
BA2583ZFHTFB,BA2583,F0C0Y76,76,35.3,46.45,36.84,55.33,0.0
AA0089TFBBOD,AA0089,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA0002TFBEDB,AA0002,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA0129TFBGBJ,AA0129,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA0303TGPTFB,AA0303,F16C0Y165,165,153.15,92.82,75.73,100.0,35.0
AA0828LPBPBL,AA0828,F16C0Y165,165,163.6,99.15,95.0,100.0,85.0
BA2351HFHQEY,BA2351,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2388TFBZZK,BA2388,F0C0Y76,76,62.45,82.17,73.29,100.0,10.0
AA0835PBLIOM,AA0835,F16C0Y165,165,162.65,98.58,91.52,100.0,80.0
AA0086BODTFB,AA0086,F0C0Y76,76,62.4,82.11,65.59,98.75,5.0
BA2369HFHTFB,BA2369,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0320TFBTKD,AA0320,F16C0Y165,165,164.55,99.73,99.73,100.0,95.0
AA0220TGPQWS,super_AA0220,F0C0Y76,76,75.6,99.47,98.29,100.0,90.0
AA0524TFBCVS,AA0524,F16C0Y165,165,132.9,80.55,69.27,100.0,15.0
AA0809QEYPHH,AA0809,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
BA2076MBYTKD,BA2076,F0C0Y76,76,73.9,97.24,86.71,100.0,60.0
AA0704ZWSMBY,AA0704,F16C0Y165,165,121.85,73.85,59.7,86.18,5.0
BA2478QEYTFB,super_BA2478,F0C0Y76,76,26.3,34.61,27.04,47.89,0.0
BA2207ZLNTFB,BA2207,F16C0Y165,165,107.65,65.24,53.73,75.79,0.0
AA0363TNGTFB,AA0363,F16C0Y165,165,138.2,83.76,76.27,94.73,0.0
BA2302TFBCJM,BA2302,F0C0Y76,76,71.85,94.54,82.5,100.0,45.0
AA0581TOBQEY,AA0581,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2433CJMTFB,BA2433,F0C0Y76,76,72.85,95.86,86.58,100.0,60.0
BA2627TFBQEY,BA2627,F12C12Y48,48,47.45,98.85,95.1,100.0,90.0
AA0022TFBPSE,AA0022,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
AA0365TNGTFB,AA0365,F16C0Y165,165,164.85,99.91,99.91,100.0,95.0
AA0637QIYTFB,AA0637,F16C0Y165,165,162.2,98.3,90.85,100.0,60.0
AA0060KOVLUO,super_AA0060,F12C12Y48,48,47.75,99.48,99.48,100.0,95.0
BA2397NTPTFB,BA2397,F0C0Y72,72,56.95,79.1,67.99,93.12,0.0
AA0323TKDTFB,AA0323,F16C0Y165,165,128.85,78.09,65.03,92.79,0.0
AA0066BODDEW,super_AA0066,F12C12Y48,48,44.25,92.19,76.88,100.0,30.0
BA2326TFBHUG,super_BA2326,F12C12Y48,48,46.8,97.5,85.31,100.0,75.0
AA0096BODTFB,AA0096,F0C0Y76,76,73.5,96.71,85.53,100.0,55.0
BA2405CPJTNG,BA2405,F0C0Y76,76,57.1,75.13,65.33,86.91,0.0
BA2404TKDCPJ,super_BA2404,F0C0Y76,76,47.8,62.89,49.67,76.51,0.0
BA2594TFBHFH,BA2594,F12C12Y48,48,22.9,47.71,31.15,67.5,0.0
BA2081QEYFVH,BA2081,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
AA0024TFBCPT,AA0024,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2239CPJTFB,BA2239,F0C0Y76,76,45.65,60.07,52.24,73.09,0.0
AA0249HEMMBY,AA0249,F16C0Y165,165,165.0,100.0,100.0,100.0,100.0
BA2296FVHTFB,BA2296,F16C0Y165,165,154.1,93.39,84.0,100.0,20.0
AA0302TGPQTQ,super_AA0302,F16C0Y165,165,39.4,23.88,18.67,27.7,0.0
AA0843TFBLPB,AA0843,F16C0Y165,165,159.75,96.82,87.09,100.0,60.0
BA2331HFHTFB,BA2331,F0C0Y76,76,76.0,100.0,100.0,100.0,100.0
BA2048QEYHFH,BA2048,F0C0Y72,72,62.45,86.74,76.39,96.04,5.0
AA0867TFBPHH,AA0867,F16C0Y165,165,163.95,99.36,96.76,100.0,85.0
BA2589QEYPBL,BA2589,F0C0Y76,76,62.05,81.64,67.11,97.5,5.0
AA0225TGPQEY,super_AA0225,F16C0Y165,165,141.6,85.82,72.67,100.0,10.0
AA0346TFBPBL,AA0346,F0C0Y76,76,75.6,99.47,98.36,100.0,85.0
BA2404MBYTKD,super_BA2404,F0C0Y76,76,75.8,99.74,99.74,100.0,95.0
