Leg,Parent_Task,Assigned_Fleet,Load_Factor(%),Bottleneck_Freq(%),Shadow_Price,Revenue_Contribution,Product_Count,Value_Score,Recommendation_Tag,Recommendation_Reason
AA0743BUMTFB,AA0743,F16C0Y165,99.42,95.0,7.615,31616.25,26,32872.72,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0025CPTTFB,AA0025,F16C0Y165,100.0,100.0,7.575,31925.01,56,33174.88,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0867TFBPHH,AA0867,F16C0Y165,99.36,85.0,7.5425,31713.1,55,32957.62,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0015CPTTFB,AA0015,F16C0Y165,100.0,100.0,7.4625,33462.0,23,34693.31,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0251TKEMBY,AA0251,F16C0Y165,100.0,100.0,7.4,29911.43,37,31132.43,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0828LPBPBL,AA0828,F16C0Y165,99.15,85.0,7.2675,34201.25,8,35400.39,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0014TFBFXS,AA0014,F0C0Y76,100.0,100.0,7.25,15348.63,26,15899.63,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0111TFBBOD,AA0111,F0C0Y76,100.0,100.0,7.2475,13652.79,80,14203.6,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0119TFBBOD,AA0119,F16C0Y165,99.82,95.0,7.1925,30599.9,163,31786.66,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0663EGXTFB,AA0663,F0C0Y76,100.0,100.0,7.1,14004.67,33,14544.27,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0825TBOPHH,AA0825,F16C0Y165,99.03,80.0,7.0525,33340.3,9,34503.96,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
BA2584TFBZFH,BA2584,F0C0Y76,100.0,100.0,7.035,13214.45,83,13749.11,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0895TKDPHH,AA0895,F16C0Y165,99.48,90.0,6.9925,33465.55,29,34619.31,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0108BODTFB,AA0108,F0C0Y76,100.0,100.0,6.96,17865.15,24,18394.11,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0660TFBEGX,AA0660,F16C0Y165,100.0,100.0,6.905,30969.15,59,32108.47,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0835PBLIOM,AA0835,F16C0Y165,98.58,80.0,6.9,32038.97,19,33177.47,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0120BODTFB,AA0120,F16C0Y165,100.0,100.0,6.8675,30272.1,127,31405.24,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0231QWSTGP,super_AA0231,F0C0Y76,100.0,100.0,6.835,11132.75,16,11652.21,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0006MBYEDB,AA0006,F16C0Y165,100.0,100.0,6.8125,33929.85,49,35053.91,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0093TFBBOD,AA0093,F16C0Y165,100.0,100.0,6.7525,34303.99,197,35418.16,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
BA2400TFBCJM,BA2400,F0C0Y76,100.0,100.0,6.75,12493.4,86,13006.4,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0024TFBCPT,AA0024,F0C0Y76,100.0,100.0,6.74,14626.85,18,15139.09,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0671BVTTFB,AA0671,F16C0Y165,99.64,95.0,6.6475,29574.7,21,30671.54,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0631QIYTFB,AA0631,F0C0Y76,100.0,100.0,6.645,13045.18,69,13550.2,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0137QEYBOD,AA0137,F16C0Y165,99.85,95.0,6.635,37848.99,95,38943.77,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0026TFBPSE,AA0026,F0C0Y76,100.0,100.0,6.62,12140.45,31,12643.57,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0549QTQTFB,AA0549,F16C0Y165,100.0,100.0,6.5925,31771.5,24,32859.26,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0245NFYMBY,super_AA0245,F16C0Y165,100.0,100.0,6.55,26289.65,9,27370.4,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0846MJIPBL,AA0846,F16C0Y165,98.94,80.0,6.54,30742.64,8,31821.74,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0005EDBMBY,AA0005,F16C0Y165,100.0,100.0,6.5375,29245.09,52,30323.78,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0036TFBNTQ,AA0036,F16C0Y165,100.0,100.0,6.52,29220.15,20,30295.95,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0220TFBTGP,super_AA0220,F0C0Y76,100.0,100.0,6.4525,13153.08,19,13643.47,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0635QIYTFB,AA0635,F16C0Y165,100.0,100.0,6.435,25519.72,45,26581.49,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0022TFBPSE,AA0022,F16C0Y165,100.0,100.0,6.4225,27268.88,60,28328.59,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0227HEMTKD,super_AA0227,F16C0Y165,99.58,95.0,6.4125,26853.85,7,27911.91,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0244MBYNFY,super_AA0244,F16C0Y165,100.0,100.0,6.365,26849.13,11,27899.35,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA3481TCBTFB,AA3481,F0C0Y76,100.0,100.0,6.355,13320.5,21,13803.48,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0870BODIOM,AA0870,F16C0Y165,95.94,70.0,6.2775,39282.22,14,40318.01,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0493TBOTFB,AA0493,F0C0Y76,100.0,100.0,6.25,12704.27,36,13179.27,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA3453CVSQEY,AA3453,F0C0Y76,100.0,100.0,6.25,11853.45,16,12328.45,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0481TBOTFB,AA0481,F0C0Y76,100.0,100.0,6.25,11314.05,49,11789.05,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0487TBOTFB,AA0487,F0C0Y76,100.0,100.0,6.25,11077.43,42,11552.43,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0755TUMTFB,AA0755,F16C0Y165,100.0,100.0,6.2425,30141.08,17,31171.09,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0686QEYPSE,AA0686,F16C0Y165,99.85,95.0,6.155,29272.26,51,30287.83,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0060KOVLUO,super_AA0060,F12C12Y48,99.48,95.0,6.1425,7892.23,17,8187.07,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0485TBOTFB,AA0485,F0C0Y76,100.0,100.0,6.1225,11431.95,42,11897.26,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0860IOMTFB,AA0860,F16C0Y165,98.21,65.0,6.12,38953.35,11,39963.15,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0661EGXTFB,AA0661,F16C0Y165,100.0,100.0,6.1125,30658.98,76,31667.54,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0754TFBTUM,AA0754,F16C0Y165,99.7,95.0,6.08,32910.0,10,33913.2,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0029PSETFB,AA0029,F16C0Y165,100.0,100.0,6.055,26667.1,47,27666.17,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0515TOBTFB,AA0515,F0C0Y76,100.0,100.0,6.0,15495.47,39,15951.47,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0517TOBTFB,AA0517,F0C0Y76,100.0,100.0,5.975,14204.55,33,14658.65,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0633QIYTFB,AA0633,F16C0Y165,100.0,100.0,5.8725,23307.15,60,24276.11,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0672TFBEFO,AA0672,F16C0Y165,100.0,100.0,5.865,23295.7,68,24263.42,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0607MBTTFB,AA0607,F0C0Y76,100.0,100.0,5.8575,11443.52,44,11888.69,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA3299EVUBOD,AA3299,F12C12Y48,89.27,35.0,5.84,16326.28,13,16606.6,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA3452QEYCVS,AA3452,F0C0Y76,100.0,100.0,5.835,12254.48,15,12697.94,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0837TKDIOM,AA0837,F16C0Y165,98.06,80.0,5.8325,29316.94,24,30279.3,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
BA2430TFBZMX,BA2430,F0C0Y76,100.0,100.0,5.8025,11171.12,32,11612.11,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0711MBYZWS,AA0711,F0C0Y76,100.0,100.0,5.8,10631.68,17,11072.48,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0712ZWSMBY,AA0712,F0C0Y76,100.0,100.0,5.8,9733.62,9,10174.42,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0477MBYTFB,AA0477,F0C0Y76,100.0,100.0,5.785,11511.8,50,11951.46,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0038TFBNTQ,AA0038,F16C0Y165,100.0,100.0,5.77,27679.12,22,28631.17,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0603MBTTFB,AA0603,F16C0Y165,100.0,100.0,5.7075,23697.9,75,24639.64,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
BA2539TFBGBU,BA2539,F0C0Y76,100.0,100.0,5.6825,11424.27,43,11856.15,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0841PBLPHH,AA0841,F16C0Y165,94.79,65.0,5.62,30500.45,9,31427.75,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA3463POUQEY,AA3463,F0C0Y76,100.0,100.0,5.5975,10973.28,51,11398.69,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0649MBTCMJ,AA0649,F16C0Y165,100.0,100.0,5.5875,21210.08,20,22132.01,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0051BODGBJ,super_AA0051,F12C12Y48,100.0,100.0,5.56,8086.07,67,8352.95,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0730TFBJBI,super_AA0730,F16C0Y165,99.91,95.0,5.5525,29618.93,37,30535.09,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0521CVSTFB,AA0521,F0C0Y76,100.0,100.0,5.545,11032.0,37,11453.42,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
BA2473TUTMBT,super_BA2473,F0C0Y76,97.17,70.0,5.5425,15916.65,8,16337.88,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0843TFBLPB,AA0843,F16C0Y165,96.82,60.0,5.5125,35470.89,49,36380.45,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0709MBYZWS,AA0709,F16C0Y165,99.67,95.0,5.505,24397.25,12,25305.58,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0011FXSTFB,AA0011,F16C0Y165,99.27,80.0,5.485,31281.77,65,32186.79,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0255TKEMBY,AA0255,F16C0Y165,99.76,95.0,5.445,27303.47,28,28201.9,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0731JBITFB,super_AA0731,F16C0Y165,99.39,90.0,5.445,27017.25,26,27915.68,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
BA2478MBTTUT,super_BA2478,F0C0Y76,100.0,100.0,5.4325,14522.3,13,14935.17,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0823PBLLPB,AA0823,F16C0Y165,97.36,65.0,5.4275,29950.3,19,30845.84,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0676TFBEFO,AA0676,F16C0Y165,100.0,100.0,5.4175,24743.35,51,25637.24,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
AA0657QIYQEY,AA0657,F16C0Y165,100.0,100.0,5.3875,21397.53,44,22286.46,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
BA2349NTPTFB,BA2349,F0C0Y76,100.0,100.0,5.3875,11112.65,34,11522.1,Upgauge_or_AddCapacity,"This leg shows either full-load behavior, bottleneck frequency, or positive scarcity value."
