Product,Max_Demand,Sold_Tickets,Legs,Tasks,Assigned_Fleets
P000300,0.4,0.4,AA0090BODTFB -> BA2268TFBCPJ,AA0090 -> BA2268,F0C0Y76 -> F0C0Y76
P000309,0.53,0.53,AA0092BODTFB -> BA2268TFBCPJ,AA0092 -> BA2268,F16C0Y165 -> F0C0Y76
P000310,0.3,0.3,AA0092BODTFB -> BA2268TFBCPJ,AA0092 -> BA2268,F16C0Y165 -> F0C0Y76
P000311,0.22,0.22,AA0092BODTFB -> BA2268TFBCPJ,AA0092 -> BA2268,F16C0Y165 -> F0C0Y76
P000320,0.35,0.35,AA0096BODTFB -> BA2140TFBCPJ,AA0096 -> BA2140,F0C0Y76 -> F0C0Y76
P000331,1.34,1.34,AA0112BODTFB -> BA2136TFBCPJ,AA0112 -> BA2136,F0C0Y76 -> F16C0Y165
P000341,0.4,0.4,AA0120BODTFB -> BA2148TFBCPJ,AA0120 -> BA2148,F16C0Y165 -> F16C0Y165
P000342,8.61,8.61,AA0120BODTFB -> BA2148TFBCPJ,AA0120 -> BA2148,F16C0Y165 -> F16C0Y165
P000343,0.42,0.42,AA0120BODTFB -> BA2148TFBCPJ,AA0120 -> BA2148,F16C0Y165 -> F16C0Y165
P000345,0.33,0.33,AA0120BODTFB -> BA2148TFBCPJ,AA0120 -> BA2148,F16C0Y165 -> F16C0Y165
P000349,0.02,0.02,AA0120BODTFB -> BA2148TFBCPJ,AA0120 -> BA2148,F16C0Y165 -> F16C0Y165
P000351,0.32,0.32,AA0120BODTFB -> BA2148TFBCPJ,AA0120 -> BA2148,F16C0Y165 -> F16C0Y165
P000353,0.42,0.42,AA0120BODTFB -> BA2217TFBCPJ,AA0120,F16C0Y165
P000364,0.42,0.42,AA0120BODTFB -> BA2426TFBCPJ,AA0120 -> BA2426,F16C0Y165 -> F0C0Y76
P000365,0.4,0.4,AA0120BODTFB -> BA2426TFBCPJ,AA0120 -> BA2426,F16C0Y165 -> F0C0Y76
P000375,0.6,0.6,AA0134BODQEY -> BA2223QEYCPJ,AA0134 -> BA2223,F16C0Y165 -> F0C0Y76
P000385,0.04,0.04,AA0051BODCSX,,
P000386,0.47,0.47,AA0051BODCSX,,
P000387,2.3,2.3,AA0051BODCSX,,
P000388,0.12,0.12,AA0051BODCSX,,
P000389,13.29,13.29,AA0051BODCSX,,
P000390,12.22,12.22,AA0051BODCSX,,
P000391,2.1,2.1,AA0051BODCSX,,
P000392,0.04,0.04,AA0051BODCSX,,
P000393,0.47,0.47,AA0051BODCSX,,
P000394,1.02,1.02,AA0051BODCSX,,
P000395,17.7,17.7,AA0051BODCSX,,
P000397,0.5,0.5,AA0055BODCSX,,
P000398,0.51,0.51,AA0055BODCSX,,
P000399,0.04,0.04,AA0055BODCSX,,
P000400,6.9,6.9,AA0055BODCSX,,
P000401,6.76,6.76,AA0055BODCSX,,
P000402,0.33,0.33,AA0055BODCSX,,
P000404,4.03,4.03,AA0055BODCSX,,
P000405,0.04,0.04,AA0055BODCSX,,
P000406,17.67,17.67,AA0055BODCSX,,
P000409,0.88,0.88,AA0187BODGBJ -> AA0051GBJCSX,AA0187 -> super_AA0051,F0C0Y76 -> F12C12Y48
P000412,0.72,0.72,AA0187BODGBJ -> AA0051GBJCSX,AA0187 -> super_AA0051,F0C0Y76 -> F12C12Y48
P000417,0.42,0.42,AA0187BODGBJ -> AA0051GBJCSX,AA0187 -> super_AA0051,F0C0Y76 -> F12C12Y48
P000422,1.65,1.65,AA0051GBJCSX -> AA0189BODGBJ,super_AA0051 -> AA0189,F12C12Y48 -> F0C0Y76
P000423,0.72,0.72,AA0051GBJCSX -> AA0189BODGBJ,super_AA0051 -> AA0189,F12C12Y48 -> F0C0Y76
P000428,5.27,5.27,AA0051GBJCSX -> AA0189BODGBJ,super_AA0051 -> AA0189,F12C12Y48 -> F0C0Y76
P000429,0.36,0.36,AA0080BODTFB -> AA0520TFBCVS,AA0080 -> AA0520,F0C0Y76 -> F0C0Y76
P000430,5.64,5.64,AA0080BODTFB -> AA0520TFBCVS,AA0080 -> AA0520,F0C0Y76 -> F0C0Y76
P000431,0.3,0.3,AA0080BODTFB -> AA0520TFBCVS,AA0080 -> AA0520,F0C0Y76 -> F0C0Y76
P000437,0.1,0.1,AA0080BODTFB -> AA0520TFBCVS,AA0080 -> AA0520,F0C0Y76 -> F0C0Y76
P000438,1.02,1.02,AA0080BODTFB -> AA0520TFBCVS,AA0080 -> AA0520,F0C0Y76 -> F0C0Y76
P000439,0.96,0.96,AA0080BODTFB -> AA0520TFBCVS,AA0080 -> AA0520,F0C0Y76 -> F0C0Y76
P000441,0.64,0.64,AA0080BODTFB -> AA0524TFBCVS,AA0080 -> AA0524,F0C0Y76 -> F16C0Y165
P000448,0.1,0.1,AA0080BODTFB -> AA0524TFBCVS,AA0080 -> AA0524,F0C0Y76 -> F16C0Y165
P000451,0.36,0.36,AA0082BODTFB -> AA0520TFBCVS,AA0082 -> AA0520,F16C0Y165 -> F0C0Y76
P000459,0.1,0.1,AA0082BODTFB -> AA0520TFBCVS,AA0082 -> AA0520,F16C0Y165 -> F0C0Y76
P000463,0.64,0.64,AA0084BODTFB -> AA0524TFBCVS,AA0084 -> AA0524,F16C0Y165 -> F16C0Y165
P000470,0.1,0.1,AA0084BODTFB -> AA0524TFBCVS,AA0084 -> AA0524,F16C0Y165 -> F16C0Y165
P000474,1.16,1.16,AA0096BODTFB -> AA0520TFBCVS,AA0096 -> AA0520,F0C0Y76 -> F0C0Y76
P000482,0.38,0.38,AA0096BODTFB -> AA0520TFBCVS,AA0096 -> AA0520,F0C0Y76 -> F0C0Y76
P000485,0.33,0.33,AA0136BODQEY -> AA3488QEYCVS,AA0136 -> AA3488,F16C0Y165 -> F0C0Y76
P000496,1.12,1.12,AA0066BODDEW,super_AA0066,F12C12Y48
P000498,4.42,4.42,AA0066BODDEW,super_AA0066,F12C12Y48
P000499,1.41,1.41,AA0066BODDEW,super_AA0066,F12C12Y48
P000500,2.35,2.35,AA0066BODDEW,super_AA0066,F12C12Y48
P000501,2.81,2.81,AA0066BODDEW,super_AA0066,F12C12Y48
P000503,0.81,0.81,AA0066BODDEW,super_AA0066,F12C12Y48
P000504,11.53,11.53,AA0066BODDEW,super_AA0066,F12C12Y48
P000505,10.32,10.32,AA0066BODDEW,super_AA0066,F12C12Y48
P000507,0.03,0.03,AA0112BODTFB -> AA0004TFBEDB,AA0112 -> AA0004,F0C0Y76 -> F16C0Y165
P000509,0.03,0.03,AA0112BODTFB -> AA0004TFBEDB,AA0112 -> AA0004,F0C0Y76 -> F16C0Y165
P000514,0.03,0.03,AA0112BODTFB -> AA0004TFBEDB,AA0112 -> AA0004,F0C0Y76 -> F16C0Y165
P000515,0.03,0.03,AA0112BODTFB -> AA0004TFBEDB,AA0112 -> AA0004,F0C0Y76 -> F16C0Y165
P000516,0.78,0.78,AA0112BODTFB -> AA0004TFBEDB,AA0112 -> AA0004,F0C0Y76 -> F16C0Y165
P000521,1.2,1.2,AA0112BODTFB -> AA0458TFBMBY -> AA0006MBYEDB,AA0112 -> AA0458 -> AA0006,F0C0Y76 -> F16C0Y165 -> F0C0Y76
P000527,0.29,0.29,AA0112BODTFB -> AA0458TFBMBY -> AA0006MBYEDB,AA0112 -> AA0458 -> AA0006,F0C0Y76 -> F16C0Y165 -> F0C0Y76
P000528,2.02,2.02,AA0114BODTFB -> AA0004TFBEDB,AA0114 -> AA0004,F0C0Y76 -> F16C0Y165
P000529,0.03,0.03,AA0114BODTFB -> AA0004TFBEDB,AA0114 -> AA0004,F0C0Y76 -> F16C0Y165
P000531,0.03,0.03,AA0114BODTFB -> AA0004TFBEDB,AA0114 -> AA0004,F0C0Y76 -> F16C0Y165
P000532,0.69,0.69,AA0114BODTFB -> AA0004TFBEDB,AA0114 -> AA0004,F0C0Y76 -> F16C0Y165
P000536,0.03,0.03,AA0114BODTFB -> AA0004TFBEDB,AA0114 -> AA0004,F0C0Y76 -> F16C0Y165
P000537,0.03,0.03,AA0114BODTFB -> AA0004TFBEDB,AA0114 -> AA0004,F0C0Y76 -> F16C0Y165
P000538,0.29,0.29,AA0114BODTFB -> AA0004TFBEDB,AA0114 -> AA0004,F0C0Y76 -> F16C0Y165
P000543,0.74,0.74,AA0114BODTFB -> AA0458TFBMBY -> AA0006MBYEDB,AA0114 -> AA0458 -> AA0006,F0C0Y76 -> F16C0Y165 -> F0C0Y76
P000550,1.17,1.17,AA0120BODTFB -> AA0002TFBEDB,AA0120 -> AA0002,F16C0Y165 -> F16C0Y165
P000552,1.99,1.99,AA0120BODTFB -> AA0002TFBEDB,AA0120 -> AA0002,F16C0Y165 -> F16C0Y165
P000554,6.79,6.79,AA0120BODTFB -> AA0002TFBEDB,AA0120 -> AA0002,F16C0Y165 -> F16C0Y165
P000559,3.38,3.24,AA0120BODTFB -> AA0002TFBEDB,AA0120 -> AA0002,F16C0Y165 -> F16C0Y165
P000560,1.83,1.83,AA0120BODTFB -> AA0002TFBEDB,AA0120 -> AA0002,F16C0Y165 -> F16C0Y165
P000571,0.32,0.32,AA0080BODTFB -> AA0678TFBEFO,AA0080 -> AA0678,F0C0Y76 -> F16C0Y165
P000573,0.67,0.67,AA0084BODTFB -> AA0678TFBEFO,AA0084 -> AA0678,F16C0Y165 -> F16C0Y165
P000577,1.49,1.49,AA0084BODTFB -> AA0678TFBEFO,AA0084 -> AA0678,F16C0Y165 -> F16C0Y165
P000578,0.32,0.32,AA0084BODTFB -> AA0678TFBEFO,AA0084 -> AA0678,F16C0Y165 -> F16C0Y165
P000581,1.64,1.64,AA0084BODTFB -> AA0678TFBEFO,AA0084 -> AA0678,F16C0Y165 -> F16C0Y165
P000582,0.29,0.29,AA0084BODTFB -> AA0678TFBEFO,AA0084 -> AA0678,F16C0Y165 -> F16C0Y165
P000588,0.4,0.4,AA0108BODTFB -> AA0676TFBEFO,AA0108 -> AA0676,F0C0Y76 -> F16C0Y165
P000592,0.77,0.77,AA0108BODTFB -> AA0676TFBEFO,AA0108 -> AA0676,F0C0Y76 -> F16C0Y165
P000600,0.71,0.71,AA0112BODTFB -> AA0676TFBEFO,AA0112 -> AA0676,F0C0Y76 -> F16C0Y165
P000602,0.14,0.14,AA0112BODTFB -> AA0676TFBEFO,AA0112 -> AA0676,F0C0Y76 -> F16C0Y165
P000604,0.3,0.3,AA0112BODTFB -> AA0676TFBEFO,AA0112 -> AA0676,F0C0Y76 -> F16C0Y165
P000609,0.34,0.34,AA0114BODTFB -> AA0676TFBEFO,AA0114 -> AA0676,F0C0Y76 -> F16C0Y165
P000610,0.26,0.26,AA0114BODTFB -> AA0676TFBEFO,AA0114 -> AA0676,F0C0Y76 -> F16C0Y165
P000613,0.14,0.14,AA0114BODTFB -> AA0676TFBEFO,AA0114 -> AA0676,F0C0Y76 -> F16C0Y165
P000620,0.65,0.65,AA0120BODTFB -> AA0672TFBEFO,AA0120 -> AA0672,F16C0Y165 -> F16C0Y165
P000625,4.78,4.78,AA0120BODTFB -> AA0672TFBEFO,AA0120 -> AA0672,F16C0Y165 -> F16C0Y165
P000626,0.63,0.63,AA0120BODTFB -> AA0672TFBEFO,AA0120 -> AA0672,F16C0Y165 -> F16C0Y165
P000636,0.32,0.32,AA0080BODTFB -> AA0664TFBEGX,AA0080 -> AA0664,F0C0Y76 -> F0C0Y76
P000641,1.0,1.0,AA0084BODTFB -> AA0664TFBEGX,AA0084 -> AA0664,F16C0Y165 -> F0C0Y76
P000642,0.35,0.35,AA0084BODTFB -> AA0664TFBEGX,AA0084 -> AA0664,F16C0Y165 -> F0C0Y76
P000644,0.32,0.32,AA0084BODTFB -> AA0664TFBEGX,AA0084 -> AA0664,F16C0Y165 -> F0C0Y76
P000652,0.4,0.4,AA0108BODTFB -> AA0670TFBEGX,AA0108 -> AA0670,F0C0Y76 -> F16C0Y165
P000661,0.33,0.33,AA0112BODTFB -> AA0670TFBEGX,AA0112 -> AA0670,F0C0Y76 -> F16C0Y165
P000663,2.29,2.29,AA0112BODTFB -> AA0670TFBEGX,AA0112 -> AA0670,F0C0Y76 -> F16C0Y165
P000664,0.98,0.98,AA0112BODTFB -> AA0670TFBEGX,AA0112 -> AA0670,F0C0Y76 -> F16C0Y165
P000669,0.6,0.6,AA0112BODTFB -> AA0670TFBEGX,AA0112 -> AA0670,F0C0Y76 -> F16C0Y165
P000670,0.58,0.58,AA0112BODTFB -> AA0670TFBEGX,AA0112 -> AA0670,F0C0Y76 -> F16C0Y165
P000672,0.02,0.02,AA0114BODTFB -> AA0660TFBEGX,AA0114 -> AA0660,F0C0Y76 -> F16C0Y165
P000674,0.9,0.9,AA0114BODTFB -> AA0660TFBEGX,AA0114 -> AA0660,F0C0Y76 -> F16C0Y165
P000679,0.02,0.02,AA0114BODTFB -> AA0660TFBEGX,AA0114 -> AA0660,F0C0Y76 -> F16C0Y165
P000683,0.02,0.02,AA0120BODTFB -> AA0660TFBEGX,AA0120 -> AA0660,F16C0Y165 -> F16C0Y165
P000685,7.53,7.53,AA0120BODTFB -> AA0660TFBEGX,AA0120 -> AA0660,F16C0Y165 -> F16C0Y165
P000686,2.26,2.26,AA0120BODTFB -> AA0660TFBEGX,AA0120 -> AA0660,F16C0Y165 -> F16C0Y165
P000690,0.03,0.03,AA0120BODTFB -> AA0660TFBEGX,AA0120 -> AA0660,F16C0Y165 -> F16C0Y165
P000692,0.3,0.3,AA0120BODTFB -> AA0660TFBEGX,AA0120 -> AA0660,F16C0Y165 -> F16C0Y165
P000701,0.58,0.58,AA0080BODTFB -> BA2299TFBFVH,AA0080 -> BA2299,F0C0Y76 -> F16C0Y165
P000705,0.33,0.33,AA0084BODTFB -> BA2299TFBFVH,AA0084 -> BA2299,F16C0Y165 -> F16C0Y165
P000707,0.32,0.32,AA0084BODTFB -> BA2299TFBFVH,AA0084 -> BA2299,F16C0Y165 -> F16C0Y165
P000712,2.39,2.39,AA0084BODTFB -> BA2299TFBFVH,AA0084 -> BA2299,F16C0Y165 -> F16C0Y165
P000723,0.43,0.43,AA0090BODTFB -> BA2281TFBFVH,AA0090 -> BA2281,F0C0Y76 -> F0C0Y76
P000727,0.33,0.33,AA0092BODTFB -> BA2281TFBFVH,AA0092 -> BA2281,F16C0Y165 -> F0C0Y76
P000734,0.43,0.43,AA0092BODTFB -> BA2281TFBFVH,AA0092 -> BA2281,F16C0Y165 -> F0C0Y76
P000739,0.5,0.5,AA0096BODTFB -> BA2299TFBFVH,AA0096 -> BA2299,F0C0Y76 -> F16C0Y165
P000756,0.33,0.33,AA0112BODTFB -> BA2295TFBFVH,AA0112 -> BA2295,F0C0Y76 -> F12C12Y48
P000760,0.31,0.31,AA0114BODTFB -> BA2295TFBFVH,AA0114 -> BA2295,F0C0Y76 -> F12C12Y48
P000767,0.66,0.66,AA0114BODTFB -> BA2295TFBFVH,AA0114 -> BA2295,F0C0Y76 -> F12C12Y48
P000778,1.0,1.0,AA0134BODQEY -> BA2644QEYFVH,AA0134 -> super_BA2644,F16C0Y165 -> F0C0Y76
P000783,1.05,1.05,AA0082BODTFB -> AA0014TFBFXS,AA0082 -> AA0014,F16C0Y165 -> F0C0Y76
P000784,0.98,0.98,AA0082BODTFB -> AA0014TFBFXS,AA0082 -> AA0014,F16C0Y165 -> F0C0Y76
P000795,0.48,0.48,AA0096BODTFB -> AA0014TFBFXS,AA0096 -> AA0014,F0C0Y76 -> F0C0Y76
P000801,1.0,1.0,AA0096BODTFB -> AA0014TFBFXS,AA0096 -> AA0014,F0C0Y76 -> F0C0Y76
P000804,0.08,0.08,AA0112BODTFB -> AA0008TFBFXS,AA0112 -> AA0008,F0C0Y76 -> F16C0Y165
P000811,0.16,0.16,AA0112BODTFB -> AA0008TFBFXS,AA0112 -> AA0008,F0C0Y76 -> F16C0Y165
P000812,1.01,1.01,AA0112BODTFB -> AA0008TFBFXS,AA0112 -> AA0008,F0C0Y76 -> F16C0Y165
P000815,0.08,0.08,AA0114BODTFB -> AA0008TFBFXS,AA0114 -> AA0008,F0C0Y76 -> F16C0Y165
P000817,0.98,0.98,AA0114BODTFB -> AA0008TFBFXS,AA0114 -> AA0008,F0C0Y76 -> F16C0Y165
P000822,0.16,0.16,AA0114BODTFB -> AA0008TFBFXS,AA0114 -> AA0008,F0C0Y76 -> F16C0Y165
P000823,0.65,0.65,AA0114BODTFB -> AA0008TFBFXS,AA0114 -> AA0008,F0C0Y76 -> F16C0Y165
P000827,10.03,10.03,AA0051BODGBJ,super_AA0051,F12C12Y48
P000828,0.48,0.48,AA0051BODGBJ,super_AA0051,F12C12Y48
P000829,7.13,7.13,AA0051BODGBJ,super_AA0051,F12C12Y48
P000830,0.51,0.51,AA0051BODGBJ,super_AA0051,F12C12Y48
P000831,3.95,3.95,AA0051BODGBJ,super_AA0051,F12C12Y48
P000835,10.98,10.98,AA0051BODGBJ,super_AA0051,F12C12Y48
P000837,2.87,2.87,AA0055BODGBJ,super_AA0055,F12C12Y48
P000838,3.16,3.16,AA0055BODGBJ,super_AA0055,F12C12Y48
P000839,2.94,2.94,AA0055BODGBJ,super_AA0055,F12C12Y48
P000840,15.51,15.51,AA0055BODGBJ,super_AA0055,F12C12Y48
