ProductID,Org,Des,Flight1,Flight2,Flight3,Fare,Total_Demand
P000155,BOD,CFU,AA0045BODCFU,.,.,134,0.71
P000156,BOD,CFU,AA0045BODCFU,.,.,223,5.04
P000157,BOD,CFU,AA0045BODCFU,.,.,117,0
P000158,BOD,CFU,AA0045BODCFU,.,.,175,11.95
P000159,BOD,CFU,AA0045BODCFU,.,.,245,8.17
P000160,BOD,CFU,AA0045BODCFU,.,.,116,1
P000161,BOD,CFU,AA0045BODCFU,.,.,58,0
P000162,BOD,CFU,AA0045BODCFU,.,.,120,1.97
P000163,BOD,CFU,AA0045BODCFU,.,.,67,1.77
P000164,BOD,CFU,AA0045BODCFU,.,.,252,11.19
P000165,BOD,CJM,AA0084BODTFB,BA2302TFBCJM,.,485,0
P000166,BOD,CJM,AA0084BODTFB,BA2302TFBCJM,.,267,0
P000167,BOD,CJM,AA0084BODTFB,BA2302TFBCJM,.,381,0
P000168,BOD,CJM,AA0084BODTFB,BA2302TFBCJM,.,311,0
P000169,BOD,CJM,AA0084BODTFB,BA2302TFBCJM,.,312,0
P000170,BOD,CJM,AA0084BODTFB,BA2302TFBCJM,.,470,0
P000171,BOD,CJM,AA0084BODTFB,BA2302TFBCJM,.,142,0
P000172,BOD,CJM,AA0084BODTFB,BA2302TFBCJM,.,583,0
P000173,BOD,CJM,AA0084BODTFB,BA2302TFBCJM,.,229,0
P000174,BOD,CJM,AA0084BODTFB,BA2302TFBCJM,.,295,0
P000175,BOD,CJM,AA0084BODTFB,BA2302TFBCJM,.,318,0.23
P000176,BOD,CJM,AA0090BODTFB,BA2302TFBCJM,.,485,0
P000177,BOD,CJM,AA0090BODTFB,BA2302TFBCJM,.,267,2.75
P000178,BOD,CJM,AA0090BODTFB,BA2302TFBCJM,.,381,0
P000179,BOD,CJM,AA0090BODTFB,BA2302TFBCJM,.,311,0
P000180,BOD,CJM,AA0090BODTFB,BA2302TFBCJM,.,312,0
P000181,BOD,CJM,AA0090BODTFB,BA2302TFBCJM,.,470,0.6
P000182,BOD,CJM,AA0090BODTFB,BA2302TFBCJM,.,142,0
P000183,BOD,CJM,AA0090BODTFB,BA2302TFBCJM,.,583,0
P000184,BOD,CJM,AA0090BODTFB,BA2302TFBCJM,.,229,0
P000185,BOD,CJM,AA0090BODTFB,BA2302TFBCJM,.,295,0
P000186,BOD,CJM,AA0090BODTFB,BA2302TFBCJM,.,318,0.29
P000187,BOD,CJM,AA0092BODTFB,BA2302TFBCJM,.,485,0
P000188,BOD,CJM,AA0092BODTFB,BA2302TFBCJM,.,267,1.08
P000189,BOD,CJM,AA0092BODTFB,BA2302TFBCJM,.,381,0
P000190,BOD,CJM,AA0092BODTFB,BA2302TFBCJM,.,311,0
P000191,BOD,CJM,AA0092BODTFB,BA2302TFBCJM,.,312,0.23
P000192,BOD,CJM,AA0092BODTFB,BA2302TFBCJM,.,470,0.3
P000193,BOD,CJM,AA0092BODTFB,BA2302TFBCJM,.,142,0
P000194,BOD,CJM,AA0092BODTFB,BA2302TFBCJM,.,583,0
P000195,BOD,CJM,AA0092BODTFB,BA2302TFBCJM,.,229,0
P000196,BOD,CJM,AA0092BODTFB,BA2302TFBCJM,.,295,0.81
P000197,BOD,CJM,AA0092BODTFB,BA2302TFBCJM,.,318,0
P000198,BOD,CMJ,AA0080BODTFB,BA2490TFBCMJ,.,487,0.32
P000199,BOD,CMJ,AA0080BODTFB,BA2490TFBCMJ,.,268,0
P000200,BOD,CMJ,AA0080BODTFB,BA2490TFBCMJ,.,409,0
P000201,BOD,CMJ,AA0080BODTFB,BA2490TFBCMJ,.,262,0
P000202,BOD,CMJ,AA0080BODTFB,BA2490TFBCMJ,.,316,0.32
P000203,BOD,CMJ,AA0080BODTFB,BA2490TFBCMJ,.,451,0
P000204,BOD,CMJ,AA0080BODTFB,BA2490TFBCMJ,.,94,0
P000205,BOD,CMJ,AA0080BODTFB,BA2490TFBCMJ,.,512,0
P000206,BOD,CMJ,AA0080BODTFB,BA2490TFBCMJ,.,255,0
P000207,BOD,CMJ,AA0080BODTFB,BA2490TFBCMJ,.,342,0
P000208,BOD,CMJ,AA0080BODTFB,BA2490TFBCMJ,.,406,0.32
P000209,BOD,CMJ,AA0084BODTFB,BA2490TFBCMJ,.,487,0
P000210,BOD,CMJ,AA0084BODTFB,BA2490TFBCMJ,.,268,0
P000211,BOD,CMJ,AA0084BODTFB,BA2490TFBCMJ,.,409,0.37
P000212,BOD,CMJ,AA0084BODTFB,BA2490TFBCMJ,.,262,0
P000213,BOD,CMJ,AA0084BODTFB,BA2490TFBCMJ,.,316,1.01
P000214,BOD,CMJ,AA0084BODTFB,BA2490TFBCMJ,.,451,0
P000215,BOD,CMJ,AA0084BODTFB,BA2490TFBCMJ,.,94,0
P000216,BOD,CMJ,AA0084BODTFB,BA2490TFBCMJ,.,512,0
P000217,BOD,CMJ,AA0084BODTFB,BA2490TFBCMJ,.,255,0
P000218,BOD,CMJ,AA0084BODTFB,BA2490TFBCMJ,.,342,0
P000219,BOD,CMJ,AA0084BODTFB,BA2490TFBCMJ,.,406,0
P000220,BOD,CMJ,AA0092BODTFB,BA2492TFBCMJ,.,487,0
P000221,BOD,CMJ,AA0092BODTFB,BA2492TFBCMJ,.,268,0
P000222,BOD,CMJ,AA0092BODTFB,BA2492TFBCMJ,.,409,0
P000223,BOD,CMJ,AA0092BODTFB,BA2492TFBCMJ,.,262,0
P000224,BOD,CMJ,AA0092BODTFB,BA2492TFBCMJ,.,316,0
P000225,BOD,CMJ,AA0092BODTFB,BA2492TFBCMJ,.,451,0
P000226,BOD,CMJ,AA0092BODTFB,BA2492TFBCMJ,.,94,0.27
P000227,BOD,CMJ,AA0092BODTFB,BA2492TFBCMJ,.,512,0
P000228,BOD,CMJ,AA0092BODTFB,BA2492TFBCMJ,.,255,0
P000229,BOD,CMJ,AA0092BODTFB,BA2492TFBCMJ,.,342,0
P000230,BOD,CMJ,AA0092BODTFB,BA2492TFBCMJ,.,406,0
P000231,BOD,CMJ,AA0098BODTFB,BA2494TFBCMJ,.,487,0
P000232,BOD,CMJ,AA0098BODTFB,BA2494TFBCMJ,.,268,0.05
P000233,BOD,CMJ,AA0098BODTFB,BA2494TFBCMJ,.,409,0
P000234,BOD,CMJ,AA0098BODTFB,BA2494TFBCMJ,.,262,0.03
P000235,BOD,CMJ,AA0098BODTFB,BA2494TFBCMJ,.,316,0.41
P000236,BOD,CMJ,AA0098BODTFB,BA2494TFBCMJ,.,451,0
P000237,BOD,CMJ,AA0098BODTFB,BA2494TFBCMJ,.,94,0.35
P000238,BOD,CMJ,AA0098BODTFB,BA2494TFBCMJ,.,512,0
P000239,BOD,CMJ,AA0098BODTFB,BA2494TFBCMJ,.,255,0.05
P000240,BOD,CMJ,AA0098BODTFB,BA2494TFBCMJ,.,342,0.03
P000241,BOD,CMJ,AA0098BODTFB,BA2494TFBCMJ,.,406,0
P000242,BOD,CMJ,AA0120BODTFB,BA2488TFBCMJ,.,487,0
P000243,BOD,CMJ,AA0120BODTFB,BA2488TFBCMJ,.,268,0.04
P000244,BOD,CMJ,AA0120BODTFB,BA2488TFBCMJ,.,409,0
P000245,BOD,CMJ,AA0120BODTFB,BA2488TFBCMJ,.,262,0.02
P000246,BOD,CMJ,AA0120BODTFB,BA2488TFBCMJ,.,316,0.43
P000247,BOD,CMJ,AA0120BODTFB,BA2488TFBCMJ,.,451,0
P000248,BOD,CMJ,AA0120BODTFB,BA2488TFBCMJ,.,94,0
P000249,BOD,CMJ,AA0120BODTFB,BA2488TFBCMJ,.,512,0
P000250,BOD,CMJ,AA0120BODTFB,BA2488TFBCMJ,.,255,0.07
P000251,BOD,CMJ,AA0120BODTFB,BA2488TFBCMJ,.,342,0.02
P000252,BOD,CMJ,AA0120BODTFB,BA2488TFBCMJ,.,406,0
P000253,BOD,CPJ,AA0080BODTFB,BA2140TFBCPJ,.,449,0
P000254,BOD,CPJ,AA0080BODTFB,BA2140TFBCPJ,.,250,0.73
P000255,BOD,CPJ,AA0080BODTFB,BA2140TFBCPJ,.,386,0
P000256,BOD,CPJ,AA0080BODTFB,BA2140TFBCPJ,.,269,0
P000257,BOD,CPJ,AA0080BODTFB,BA2140TFBCPJ,.,313,0
P000258,BOD,CPJ,AA0080BODTFB,BA2140TFBCPJ,.,405,0
P000259,BOD,CPJ,AA0080BODTFB,BA2140TFBCPJ,.,105,0
P000260,BOD,CPJ,AA0080BODTFB,BA2140TFBCPJ,.,512,0
P000261,BOD,CPJ,AA0080BODTFB,BA2140TFBCPJ,.,248,0
P000262,BOD,CPJ,AA0080BODTFB,BA2140TFBCPJ,.,321,0
P000263,BOD,CPJ,AA0080BODTFB,BA2140TFBCPJ,.,349,0
P000264,BOD,CPJ,AA0082BODTFB,BA2426TFBCPJ,.,449,0
P000265,BOD,CPJ,AA0082BODTFB,BA2426TFBCPJ,.,250,2.92
P000266,BOD,CPJ,AA0082BODTFB,BA2426TFBCPJ,.,386,0
P000267,BOD,CPJ,AA0082BODTFB,BA2426TFBCPJ,.,269,0.29
P000268,BOD,CPJ,AA0082BODTFB,BA2426TFBCPJ,.,313,0.22
P000269,BOD,CPJ,AA0082BODTFB,BA2426TFBCPJ,.,405,0
P000270,BOD,CPJ,AA0082BODTFB,BA2426TFBCPJ,.,105,0
P000271,BOD,CPJ,AA0082BODTFB,BA2426TFBCPJ,.,512,0
P000272,BOD,CPJ,AA0082BODTFB,BA2426TFBCPJ,.,248,0
P000273,BOD,CPJ,AA0082BODTFB,BA2426TFBCPJ,.,321,0
P000274,BOD,CPJ,AA0082BODTFB,BA2426TFBCPJ,.,349,0.33
P000275,BOD,CPJ,AA0084BODTFB,BA2140TFBCPJ,.,449,0.21
P000276,BOD,CPJ,AA0084BODTFB,BA2140TFBCPJ,.,250,1.66
P000277,BOD,CPJ,AA0084BODTFB,BA2140TFBCPJ,.,386,1.11
P000278,BOD,CPJ,AA0084BODTFB,BA2140TFBCPJ,.,269,0
P000279,BOD,CPJ,AA0084BODTFB,BA2140TFBCPJ,.,313,0
P000280,BOD,CPJ,AA0084BODTFB,BA2140TFBCPJ,.,405,0
P000281,BOD,CPJ,AA0084BODTFB,BA2140TFBCPJ,.,105,0
P000282,BOD,CPJ,AA0084BODTFB,BA2140TFBCPJ,.,512,0
P000283,BOD,CPJ,AA0084BODTFB,BA2140TFBCPJ,.,248,0
P000284,BOD,CPJ,AA0084BODTFB,BA2140TFBCPJ,.,321,0
P000285,BOD,CPJ,AA0084BODTFB,BA2140TFBCPJ,.,349,0
P000286,BOD,CPJ,AA0084BODTFB,BA2368TFBCPJ,.,449,0
P000287,BOD,CPJ,AA0084BODTFB,BA2368TFBCPJ,.,250,0.67
P000288,BOD,CPJ,AA0084BODTFB,BA2368TFBCPJ,.,386,0
P000289,BOD,CPJ,AA0084BODTFB,BA2368TFBCPJ,.,269,0
P000290,BOD,CPJ,AA0084BODTFB,BA2368TFBCPJ,.,313,0
P000291,BOD,CPJ,AA0084BODTFB,BA2368TFBCPJ,.,405,0
P000292,BOD,CPJ,AA0084BODTFB,BA2368TFBCPJ,.,105,0
P000293,BOD,CPJ,AA0084BODTFB,BA2368TFBCPJ,.,512,0
P000294,BOD,CPJ,AA0084BODTFB,BA2368TFBCPJ,.,248,0
P000295,BOD,CPJ,AA0084BODTFB,BA2368TFBCPJ,.,321,0
P000296,BOD,CPJ,AA0084BODTFB,BA2368TFBCPJ,.,349,0
P000297,BOD,CPJ,AA0090BODTFB,BA2268TFBCPJ,.,449,0
P000298,BOD,CPJ,AA0090BODTFB,BA2268TFBCPJ,.,250,0.55
P000299,BOD,CPJ,AA0090BODTFB,BA2268TFBCPJ,.,386,0
P000300,BOD,CPJ,AA0090BODTFB,BA2268TFBCPJ,.,269,0.4
P000301,BOD,CPJ,AA0090BODTFB,BA2268TFBCPJ,.,313,0
P000302,BOD,CPJ,AA0090BODTFB,BA2268TFBCPJ,.,405,0
P000303,BOD,CPJ,AA0090BODTFB,BA2268TFBCPJ,.,105,0
P000304,BOD,CPJ,AA0090BODTFB,BA2268TFBCPJ,.,512,0
P000305,BOD,CPJ,AA0090BODTFB,BA2268TFBCPJ,.,248,0
P000306,BOD,CPJ,AA0090BODTFB,BA2268TFBCPJ,.,321,0
P000307,BOD,CPJ,AA0090BODTFB,BA2268TFBCPJ,.,349,0
P000308,BOD,CPJ,AA0092BODTFB,BA2268TFBCPJ,.,449,0
P000309,BOD,CPJ,AA0092BODTFB,BA2268TFBCPJ,.,250,0.53
P000310,BOD,CPJ,AA0092BODTFB,BA2268TFBCPJ,.,386,0.3
P000311,BOD,CPJ,AA0092BODTFB,BA2268TFBCPJ,.,269,0.22
P000312,BOD,CPJ,AA0092BODTFB,BA2268TFBCPJ,.,313,0
P000313,BOD,CPJ,AA0092BODTFB,BA2268TFBCPJ,.,405,0
P000314,BOD,CPJ,AA0092BODTFB,BA2268TFBCPJ,.,105,0
P000315,BOD,CPJ,AA0092BODTFB,BA2268TFBCPJ,.,512,0
P000316,BOD,CPJ,AA0092BODTFB,BA2268TFBCPJ,.,248,0
P000317,BOD,CPJ,AA0092BODTFB,BA2268TFBCPJ,.,321,0
P000318,BOD,CPJ,AA0092BODTFB,BA2268TFBCPJ,.,349,0
P000319,BOD,CPJ,AA0096BODTFB,BA2140TFBCPJ,.,449,0
P000320,BOD,CPJ,AA0096BODTFB,BA2140TFBCPJ,.,250,0.35
P000321,BOD,CPJ,AA0096BODTFB,BA2140TFBCPJ,.,386,0
P000322,BOD,CPJ,AA0096BODTFB,BA2140TFBCPJ,.,269,0
P000323,BOD,CPJ,AA0096BODTFB,BA2140TFBCPJ,.,313,0
P000324,BOD,CPJ,AA0096BODTFB,BA2140TFBCPJ,.,405,0
P000325,BOD,CPJ,AA0096BODTFB,BA2140TFBCPJ,.,105,0
P000326,BOD,CPJ,AA0096BODTFB,BA2140TFBCPJ,.,512,0
P000327,BOD,CPJ,AA0096BODTFB,BA2140TFBCPJ,.,248,0
P000328,BOD,CPJ,AA0096BODTFB,BA2140TFBCPJ,.,321,0
P000329,BOD,CPJ,AA0096BODTFB,BA2140TFBCPJ,.,349,0
P000330,BOD,CPJ,AA0112BODTFB,BA2136TFBCPJ,.,449,0
P000331,BOD,CPJ,AA0112BODTFB,BA2136TFBCPJ,.,250,1.34
P000332,BOD,CPJ,AA0112BODTFB,BA2136TFBCPJ,.,386,0
P000333,BOD,CPJ,AA0112BODTFB,BA2136TFBCPJ,.,269,0
P000334,BOD,CPJ,AA0112BODTFB,BA2136TFBCPJ,.,313,0
P000335,BOD,CPJ,AA0112BODTFB,BA2136TFBCPJ,.,405,0
P000336,BOD,CPJ,AA0112BODTFB,BA2136TFBCPJ,.,105,0
P000337,BOD,CPJ,AA0112BODTFB,BA2136TFBCPJ,.,512,0
P000338,BOD,CPJ,AA0112BODTFB,BA2136TFBCPJ,.,248,0
P000339,BOD,CPJ,AA0112BODTFB,BA2136TFBCPJ,.,321,0
P000340,BOD,CPJ,AA0112BODTFB,BA2136TFBCPJ,.,349,0
P000341,BOD,CPJ,AA0120BODTFB,BA2148TFBCPJ,.,449,0.4
P000342,BOD,CPJ,AA0120BODTFB,BA2148TFBCPJ,.,250,8.61
P000343,BOD,CPJ,AA0120BODTFB,BA2148TFBCPJ,.,386,0.42
P000344,BOD,CPJ,AA0120BODTFB,BA2148TFBCPJ,.,269,0
P000345,BOD,CPJ,AA0120BODTFB,BA2148TFBCPJ,.,313,0.33
P000346,BOD,CPJ,AA0120BODTFB,BA2148TFBCPJ,.,405,0
P000347,BOD,CPJ,AA0120BODTFB,BA2148TFBCPJ,.,105,0
P000348,BOD,CPJ,AA0120BODTFB,BA2148TFBCPJ,.,512,0
P000349,BOD,CPJ,AA0120BODTFB,BA2148TFBCPJ,.,248,0.02
P000350,BOD,CPJ,AA0120BODTFB,BA2148TFBCPJ,.,321,0
P000351,BOD,CPJ,AA0120BODTFB,BA2148TFBCPJ,.,349,0.32
P000352,BOD,CPJ,AA0120BODTFB,BA2217TFBCPJ,.,449,0
P000353,BOD,CPJ,AA0120BODTFB,BA2217TFBCPJ,.,250,0.42
P000354,BOD,CPJ,AA0120BODTFB,BA2217TFBCPJ,.,386,0
P000355,BOD,CPJ,AA0120BODTFB,BA2217TFBCPJ,.,269,0
P000356,BOD,CPJ,AA0120BODTFB,BA2217TFBCPJ,.,313,0
P000357,BOD,CPJ,AA0120BODTFB,BA2217TFBCPJ,.,405,0
P000358,BOD,CPJ,AA0120BODTFB,BA2217TFBCPJ,.,105,0
P000359,BOD,CPJ,AA0120BODTFB,BA2217TFBCPJ,.,512,0
P000360,BOD,CPJ,AA0120BODTFB,BA2217TFBCPJ,.,248,0
P000361,BOD,CPJ,AA0120BODTFB,BA2217TFBCPJ,.,321,0
P000362,BOD,CPJ,AA0120BODTFB,BA2217TFBCPJ,.,349,0
P000363,BOD,CPJ,AA0120BODTFB,BA2426TFBCPJ,.,449,0
