Product,Expected_Demand,Expected_Sold,Expected_Unmet,Legs,Tasks,Assigned_Fleets
P000052,24.2,24.2,0.0,AA0048BERBOD -> AA0080BODTFB,AA0048 -> AA0080,F16C0Y165 -> F16C0Y165
P000059,12.45,12.45,0.0,AA0048BERBOD -> AA0084BODTFB,AA0048 -> AA0084,F16C0Y165 -> F16C0Y165
P000068,5.9,5.9,0.0,AA0048BERBOD -> AA0096BODTFB,AA0048 -> AA0096,F16C0Y165 -> F16C0Y165
P000070,13.65,13.65,0.0,AA0048BERBOD -> AA0096BODTFB,AA0048 -> AA0096,F16C0Y165 -> F16C0Y165
P000076,0.95,0.95,0.0,AA0048BERBOD -> AA0096BODTFB,AA0048 -> AA0096,F16C0Y165 -> F16C0Y165
P000077,4.8,4.8,0.0,AA0047BODBER,AA0047,F16C0Y165
P000079,5.55,5.55,0.0,AA0047BODBER,AA0047,F16C0Y165
P000080,20.05,20.05,0.0,AA0047BODBER,AA0047,F16C0Y165
P000081,11.4,11.4,0.0,AA0047BODBER,AA0047,F16C0Y165
P000082,2.5,2.5,0.0,AA0047BODBER,AA0047,F16C0Y165
P000083,9.6,9.6,0.0,AA0047BODBER,AA0047,F16C0Y165
P000085,24.1,24.1,0.0,AA0047BODBER,AA0047,F16C0Y165
P000086,12.05,12.05,0.0,AA0047BODBER,AA0047,F16C0Y165
P000087,16.65,16.65,0.0,AA0047BODBER,AA0047,F16C0Y165
P000088,1.75,1.75,0.0,AA0049BODBER,AA0049,F16C0Y165
P000090,5.4,5.4,0.0,AA0049BODBER,AA0049,F16C0Y165
P000092,12.4,12.4,0.0,AA0049BODBER,AA0049,F16C0Y165
P000093,3.15,3.15,0.0,AA0049BODBER,AA0049,F16C0Y165
P000094,3.05,3.05,0.0,AA0049BODBER,AA0049,F16C0Y165
P000096,0.15,0.15,0.0,AA0049BODBER,AA0049,F16C0Y165
P000097,1.05,1.05,0.0,AA0049BODBER,AA0049,F16C0Y165
P000098,10.05,10.05,0.0,AA0049BODBER,AA0049,F16C0Y165
P000119,10.25,0.35,9.9,AA0742TFBBUM -> AA0114BODTFB,AA0742 -> AA0114,F16C0Y165 -> F16C0Y165
P000131,6.0,0.8,5.2,AA0114BODTFB -> AA0668TFBBVT,AA0114 -> AA0668,F16C0Y165 -> F16C0Y165
P000132,4.35,4.35,0.0,AA0041BODCFU,AA0041,F0C0Y76
P000133,15.9,14.75,1.15,AA0041BODCFU,AA0041,F0C0Y76
P000134,15.65,15.65,0.0,AA0041BODCFU,AA0041,F0C0Y76
P000135,21.1,4.2,16.9,AA0041BODCFU,AA0041,F0C0Y76
P000136,13.0,13.0,0.0,AA0041BODCFU,AA0041,F0C0Y76
P000137,6.45,6.45,0.0,AA0041BODCFU,AA0041,F0C0Y76
P000140,0.9,0.6,0.3,AA0041BODCFU,AA0041,F0C0Y76
P000142,17.0,17.0,0.0,AA0041BODCFU,AA0041,F0C0Y76
P000143,4.45,4.45,0.0,AA0043BODCFU,AA0043,F16C0Y165
P000145,13.5,13.5,0.0,AA0043BODCFU,AA0043,F16C0Y165
P000147,30.6,30.6,0.0,AA0043BODCFU,AA0043,F16C0Y165
P000148,10.25,10.25,0.0,AA0043BODCFU,AA0043,F16C0Y165
P000149,17.1,17.1,0.0,AA0043BODCFU,AA0043,F16C0Y165
P000153,27.3,27.3,0.0,AA0043BODCFU,AA0043,F16C0Y165
P000154,3.05,3.05,0.0,AA0045BODCFU,AA0045,F16C0Y165
P000155,17.3,17.3,0.0,AA0045BODCFU,AA0045,F16C0Y165
P000156,8.15,8.15,0.0,AA0045BODCFU,AA0045,F16C0Y165
P000158,11.0,11.0,0.0,AA0045BODCFU,AA0045,F16C0Y165
P000159,8.25,8.25,0.0,AA0045BODCFU,AA0045,F16C0Y165
P000160,8.8,8.7,0.1,AA0045BODCFU,AA0045,F16C0Y165
P000162,24.65,24.65,0.0,AA0045BODCFU,AA0045,F16C0Y165
P000163,12.65,8.5,4.15,AA0045BODCFU,AA0045,F16C0Y165
P000164,10.7,10.7,0.0,AA0045BODCFU,AA0045,F16C0Y165
P000175,5.55,1.25,4.3,AA0084BODTFB -> BA2302TFBCJM,AA0084 -> BA2302,F16C0Y165 -> F16C0Y165
P000181,0.75,0.75,0.0,BA2302TFBCJM -> AA0090BODTFB,BA2302 -> AA0090,F16C0Y165 -> F16C0Y165
P000202,12.9,12.9,0.0,AA0080BODTFB -> BA2490TFBCMJ,AA0080 -> BA2490,F16C0Y165 -> F16C0Y165
P000211,5.7,5.7,0.0,AA0084BODTFB -> BA2490TFBCMJ,AA0084 -> BA2490,F16C0Y165 -> F16C0Y165
P000213,11.55,11.55,0.0,AA0084BODTFB -> BA2490TFBCMJ,AA0084 -> BA2490,F16C0Y165 -> F16C0Y165
P000232,17.65,17.65,0.0,AA0098BODTFB -> BA2494TFBCMJ,AA0098 -> BA2494,F16C0Y165 -> F16C0Y165
P000234,19.0,16.75,2.25,AA0098BODTFB -> BA2494TFBCMJ,AA0098 -> BA2494,F16C0Y165 -> F16C0Y165
P000235,13.05,13.05,0.0,AA0098BODTFB -> BA2494TFBCMJ,AA0098 -> BA2494,F16C0Y165 -> F16C0Y165
P000239,21.2,1.85,19.35,AA0098BODTFB -> BA2494TFBCMJ,AA0098 -> BA2494,F16C0Y165 -> F16C0Y165
P000240,11.05,11.05,0.0,AA0098BODTFB -> BA2494TFBCMJ,AA0098 -> BA2494,F16C0Y165 -> F16C0Y165
P000246,0.35,0.35,0.0,AA0120BODTFB -> BA2488TFBCMJ,AA0120 -> BA2488,F16C0Y165 -> F16C0Y165
P000254,17.0,8.8,8.2,AA0080BODTFB -> BA2140TFBCPJ,AA0080 -> BA2140,F16C0Y165 -> F16C0Y165
P000268,11.75,11.75,0.0,AA0082BODTFB -> BA2426TFBCPJ,AA0082 -> BA2426,F16C0Y165 -> F0C0Y76
P000276,17.8,2.4,15.4,AA0084BODTFB -> BA2140TFBCPJ,AA0084 -> BA2140,F16C0Y165 -> F16C0Y165
P000277,1.05,1.05,0.0,AA0084BODTFB -> BA2140TFBCPJ,AA0084 -> BA2140,F16C0Y165 -> F16C0Y165
P000287,16.2,0.25,15.95,AA0084BODTFB -> BA2368TFBCPJ,AA0084 -> BA2368,F16C0Y165 -> F16C0Y165
P000310,5.6,5.6,0.0,AA0092BODTFB -> BA2268TFBCPJ,AA0092 -> BA2268,F16C0Y165 -> F16C0Y165
P000320,17.3,17.3,0.0,AA0096BODTFB -> BA2140TFBCPJ,AA0096 -> BA2140,F16C0Y165 -> F16C0Y165
P000331,16.15,10.75,5.4,AA0112BODTFB -> BA2136TFBCPJ,AA0112 -> BA2136,F16C0Y165 -> F16C0Y165
P000341,0.1,0.1,0.0,AA0120BODTFB -> BA2148TFBCPJ,AA0120 -> BA2148,F16C0Y165 -> F16C0Y165
P000342,21.45,5.55,15.9,AA0120BODTFB -> BA2148TFBCPJ,AA0120 -> BA2148,F16C0Y165 -> F16C0Y165
P000343,0.2,0.2,0.0,AA0120BODTFB -> BA2148TFBCPJ,AA0120 -> BA2148,F16C0Y165 -> F16C0Y165
P000345,12.05,12.05,0.0,AA0120BODTFB -> BA2148TFBCPJ,AA0120 -> BA2148,F16C0Y165 -> F16C0Y165
P000349,23.05,0.1,22.95,AA0120BODTFB -> BA2148TFBCPJ,AA0120 -> BA2148,F16C0Y165 -> F16C0Y165
P000353,18.2,18.2,0.0,AA0120BODTFB -> BA2217TFBCPJ,AA0120,F16C0Y165
P000365,0.1,0.1,0.0,AA0120BODTFB -> BA2426TFBCPJ,AA0120 -> BA2426,F16C0Y165 -> F0C0Y76
P000375,17.6,16.25,1.35,AA0134BODQEY -> BA2223QEYCPJ,AA0134 -> BA2223,F16C0Y165 -> F16C0Y165
P000386,0.35,0.35,0.0,AA0051BODCSX,,
P000387,2.35,2.35,0.0,AA0051BODCSX,,
P000389,13.25,13.25,0.0,AA0051BODCSX,,
P000390,12.05,12.05,0.0,AA0051BODCSX,,
P000391,2.1,2.1,0.0,AA0051BODCSX,,
P000393,0.5,0.5,0.0,AA0051BODCSX,,
P000394,1.0,1.0,0.0,AA0051BODCSX,,
P000395,17.55,17.55,0.0,AA0051BODCSX,,
P000397,0.6,0.6,0.0,AA0055BODCSX,,
P000398,0.5,0.5,0.0,AA0055BODCSX,,
P000400,7.4,7.4,0.0,AA0055BODCSX,,
P000401,6.35,6.35,0.0,AA0055BODCSX,,
P000404,4.1,4.1,0.0,AA0055BODCSX,,
P000406,17.7,17.7,0.0,AA0055BODCSX,,
P000409,6.25,6.25,0.0,AA0187BODGBJ -> AA0051GBJCSX,AA0187 -> super_AA0051,F16C0Y165 -> F0C0Y76
P000412,0.95,0.95,0.0,AA0187BODGBJ -> AA0051GBJCSX,AA0187 -> super_AA0051,F16C0Y165 -> F0C0Y76
P000417,5.75,5.75,0.0,AA0187BODGBJ -> AA0051GBJCSX,AA0187 -> super_AA0051,F16C0Y165 -> F0C0Y76
P000422,12.6,12.6,0.0,AA0051GBJCSX -> AA0189BODGBJ,super_AA0051 -> AA0189,F0C0Y76 -> F16C0Y165
P000423,0.9,0.9,0.0,AA0051GBJCSX -> AA0189BODGBJ,super_AA0051 -> AA0189,F0C0Y76 -> F16C0Y165
P000428,5.25,5.25,0.0,AA0051GBJCSX -> AA0189BODGBJ,super_AA0051 -> AA0189,F0C0Y76 -> F16C0Y165
P000431,5.65,5.65,0.0,AA0080BODTFB -> AA0520TFBCVS,AA0080 -> AA0520,F16C0Y165 -> F16C0Y165
P000439,5.7,5.7,0.0,AA0080BODTFB -> AA0520TFBCVS,AA0080 -> AA0520,F16C0Y165 -> F16C0Y165
P000496,16.75,0.05,16.7,AA0066BODDEW,super_AA0066,F0C0Y76
P000498,21.05,21.05,0.0,AA0066BODDEW,super_AA0066,F0C0Y76
P000499,12.15,12.15,0.0,AA0066BODDEW,super_AA0066,F0C0Y76
P000500,2.4,2.4,0.0,AA0066BODDEW,super_AA0066,F0C0Y76
P000503,23.0,9.05,13.95,AA0066BODDEW,super_AA0066,F0C0Y76
P000504,17.3,17.3,0.0,AA0066BODDEW,super_AA0066,F0C0Y76
P000505,10.2,10.2,0.0,AA0066BODDEW,super_AA0066,F0C0Y76
P000511,4.7,4.7,0.0,AA0112BODTFB -> AA0004TFBEDB,AA0112 -> AA0004,F16C0Y165 -> F16C0Y165
P000528,4.95,4.95,0.0,AA0114BODTFB -> AA0004TFBEDB,AA0114 -> AA0004,F16C0Y165 -> F16C0Y165
P000533,4.9,4.9,0.0,AA0114BODTFB -> AA0004TFBEDB,AA0114 -> AA0004,F16C0Y165 -> F16C0Y165
P000550,4.35,4.35,0.0,AA0120BODTFB -> AA0002TFBEDB,AA0120 -> AA0002,F16C0Y165 -> F16C0Y165
P000571,5.05,5.05,0.0,AA0080BODTFB -> AA0678TFBEFO,AA0080 -> AA0678,F16C0Y165 -> F16C0Y165
P000577,1.7,1.7,0.0,AA0084BODTFB -> AA0678TFBEFO,AA0084 -> AA0678,F16C0Y165 -> F16C0Y165
P000581,12.85,9.55,3.3,AA0084BODTFB -> AA0678TFBEFO,AA0084 -> AA0678,F16C0Y165 -> F16C0Y165
P000588,0.05,0.05,0.0,AA0108BODTFB -> AA0676TFBEFO,AA0108 -> AA0676,F16C0Y165 -> F16C0Y165
P000592,0.9,0.9,0.0,AA0108BODTFB -> AA0676TFBEFO,AA0108 -> AA0676,F16C0Y165 -> F16C0Y165
P000604,5.7,5.5,0.2,AA0112BODTFB -> AA0676TFBEFO,AA0112 -> AA0676,F16C0Y165 -> F16C0Y165
P000610,5.05,5.05,0.0,AA0114BODTFB -> AA0676TFBEFO,AA0114 -> AA0676,F16C0Y165 -> F16C0Y165
P000620,12.45,12.45,0.0,AA0120BODTFB -> AA0672TFBEFO,AA0120 -> AA0672,F16C0Y165 -> F16C0Y165
P000626,0.85,0.75,0.1,AA0120BODTFB -> AA0672TFBEFO,AA0120 -> AA0672,F16C0Y165 -> F16C0Y165
P000652,20.0,18.5,1.5,AA0108BODTFB -> AA0670TFBEGX,AA0108 -> AA0670,F16C0Y165 -> F16C0Y165
P000670,0.55,0.45,0.1,AA0112BODTFB -> AA0670TFBEGX,AA0112 -> AA0670,F16C0Y165 -> F16C0Y165
P000723,22.5,22.5,0.0,AA0090BODTFB -> BA2281TFBFVH,AA0090 -> BA2281,F16C0Y165 -> F16C0Y165
P000739,5.8,5.8,0.0,AA0096BODTFB -> BA2299TFBFVH,AA0096 -> BA2299,F16C0Y165 -> F16C0Y165
P000756,23.15,23.15,0.0,AA0112BODTFB -> BA2295TFBFVH,AA0112 -> BA2295,F16C0Y165 -> F16C0Y165
P000760,19.05,19.05,0.0,AA0114BODTFB -> BA2295TFBFVH,AA0114 -> BA2295,F16C0Y165 -> F16C0Y165
P000767,22.0,22.0,0.0,AA0114BODTFB -> BA2295TFBFVH,AA0114 -> BA2295,F16C0Y165 -> F16C0Y165
P000778,22.05,22.05,0.0,AA0134BODQEY -> BA2644QEYFVH,AA0134 -> super_BA2644,F16C0Y165 -> F16C0Y165
P000783,1.0,1.0,0.0,AA0082BODTFB -> AA0014TFBFXS,AA0082 -> AA0014,F16C0Y165 -> F16C0Y165
P000795,18.95,0.2,18.75,AA0096BODTFB -> AA0014TFBFXS,AA0096 -> AA0014,F16C0Y165 -> F16C0Y165
P000801,12.2,10.55,1.65,AA0096BODTFB -> AA0014TFBFXS,AA0096 -> AA0014,F16C0Y165 -> F16C0Y165
P000826,20.85,2.0,18.85,AA0051BODGBJ,super_AA0051,F0C0Y76
P000827,10.15,10.15,0.0,AA0051BODGBJ,super_AA0051,F0C0Y76
P000828,20.45,17.25,3.2,AA0051BODGBJ,super_AA0051,F0C0Y76
P000829,6.7,6.7,0.0,AA0051BODGBJ,super_AA0051,F0C0Y76
P000830,0.45,0.45,0.0,AA0051BODGBJ,super_AA0051,F0C0Y76
P000831,3.95,3.95,0.0,AA0051BODGBJ,super_AA0051,F0C0Y76
P000835,11.05,11.05,0.0,AA0051BODGBJ,super_AA0051,F0C0Y76
P000837,19.05,19.05,0.0,AA0055BODGBJ,super_AA0055,F16C0Y165
P000838,3.0,3.0,0.0,AA0055BODGBJ,super_AA0055,F16C0Y165
P000839,20.9,20.9,0.0,AA0055BODGBJ,super_AA0055,F16C0Y165
P000840,16.05,16.05,0.0,AA0055BODGBJ,super_AA0055,F16C0Y165
P000841,5.05,5.05,0.0,AA0055BODGBJ,super_AA0055,F16C0Y165
P000842,2.2,2.2,0.0,AA0055BODGBJ,super_AA0055,F16C0Y165
P000843,3.3,3.3,0.0,AA0055BODGBJ,super_AA0055,F16C0Y165
P000845,2.15,2.15,0.0,AA0055BODGBJ,super_AA0055,F16C0Y165
P000846,15.9,15.9,0.0,AA0055BODGBJ,super_AA0055,F16C0Y165
P000848,22.0,22.0,0.0,AA0181BODGBJ,AA0181,F16C0Y165
P000849,14.75,14.75,0.0,AA0181BODGBJ,AA0181,F16C0Y165
P000850,24.8,24.8,0.0,AA0181BODGBJ,AA0181,F16C0Y165
P000851,7.9,7.9,0.0,AA0181BODGBJ,AA0181,F16C0Y165
P000852,1.0,1.0,0.0,AA0181BODGBJ,AA0181,F16C0Y165
P000853,18.95,18.95,0.0,AA0181BODGBJ,AA0181,F16C0Y165
P000856,11.8,11.8,0.0,AA0181BODGBJ,AA0181,F16C0Y165
P000857,14.4,14.4,0.0,AA0181BODGBJ,AA0181,F16C0Y165
P000859,13.0,13.0,0.0,AA0183BODGBJ,AA0183,F16C0Y165
P000860,11.35,11.35,0.0,AA0183BODGBJ,AA0183,F16C0Y165
P000861,5.95,5.95,0.0,AA0183BODGBJ,AA0183,F16C0Y165
P000862,5.9,5.9,0.0,AA0183BODGBJ,AA0183,F16C0Y165
P000864,12.3,12.3,0.0,AA0183BODGBJ,AA0183,F16C0Y165
P000867,6.55,6.55,0.0,AA0183BODGBJ,AA0183,F16C0Y165
P000868,14.2,14.2,0.0,AA0183BODGBJ,AA0183,F16C0Y165
P000870,24.2,24.2,0.0,AA0187BODGBJ,AA0187,F16C0Y165
P000871,5.5,5.5,0.0,AA0187BODGBJ,AA0187,F16C0Y165
P000872,21.1,21.1,0.0,AA0187BODGBJ,AA0187,F16C0Y165
P000873,3.45,3.45,0.0,AA0187BODGBJ,AA0187,F16C0Y165
P000874,4.95,4.95,0.0,AA0187BODGBJ,AA0187,F16C0Y165
P000875,10.2,10.2,0.0,AA0187BODGBJ,AA0187,F16C0Y165
P000877,22.75,21.5,1.25,AA0187BODGBJ,AA0187,F16C0Y165
P000878,11.65,11.65,0.0,AA0187BODGBJ,AA0187,F16C0Y165
P000879,8.5,8.5,0.0,AA0187BODGBJ,AA0187,F16C0Y165
P000881,25.6,25.6,0.0,AA0189BODGBJ,AA0189,F16C0Y165
P000882,5.15,5.15,0.0,AA0189BODGBJ,AA0189,F16C0Y165
P000883,20.45,20.45,0.0,AA0189BODGBJ,AA0189,F16C0Y165
P000884,7.55,7.55,0.0,AA0189BODGBJ,AA0189,F16C0Y165
P000886,5.5,5.5,0.0,AA0189BODGBJ,AA0189,F16C0Y165
P000888,23.1,22.75,0.35,AA0189BODGBJ,AA0189,F16C0Y165
P000889,11.5,11.5,0.0,AA0189BODGBJ,AA0189,F16C0Y165
P000890,5.9,5.9,0.0,AA0189BODGBJ,AA0189,F16C0Y165
P000892,27.85,27.85,0.0,AA0191BODGBJ,AA0191,F16C0Y165
P000893,6.6,6.6,0.0,AA0191BODGBJ,AA0191,F16C0Y165
P000894,19.65,19.65,0.0,AA0191BODGBJ,AA0191,F16C0Y165
P000895,12.2,12.2,0.0,AA0191BODGBJ,AA0191,F16C0Y165
P000896,4.9,4.9,0.0,AA0191BODGBJ,AA0191,F16C0Y165
P000897,8.7,8.7,0.0,AA0191BODGBJ,AA0191,F16C0Y165
P000898,3.4,3.4,0.0,AA0191BODGBJ,AA0191,F16C0Y165
P000899,24.2,24.2,0.0,AA0191BODGBJ,AA0191,F16C0Y165
P000901,16.65,16.65,0.0,AA0191BODGBJ,AA0191,F16C0Y165
P000903,0.95,0.95,0.0,AA0195BODGBJ,AA0195,F0C0Y76
P000906,0.95,0.95,0.0,AA0195BODGBJ,AA0195,F0C0Y76
P000907,1.05,1.05,0.0,AA0195BODGBJ,AA0195,F0C0Y76
P000912,2.2,2.2,0.0,AA0195BODGBJ,AA0195,F0C0Y76
P000914,17.7,15.45,2.25,AA0084BODTFB -> AA3490TFBGBU,AA0084 -> AA3490,F16C0Y165 -> F16C0Y165
P000927,20.65,16.25,4.4,AA0092BODTFB -> AA3490TFBGBU,AA0092 -> AA3490,F16C0Y165 -> F16C0Y165
P000929,0.95,0.95,0.0,AA0092BODTFB -> AA3490TFBGBU,AA0092 -> AA3490,F16C0Y165 -> F16C0Y165
P000960,19.8,19.8,0.0,AA0134BODQEY -> BA2533QEYGBU,AA0134 -> BA2533,F16C0Y165 -> F16C0Y165
P000969,18.2,18.2,0.0,AA0092BODTFB -> AA0226TFBHEM,AA0092,F16C0Y165
P000972,12.65,12.65,0.0,AA0092BODTFB -> AA0226TFBHEM,AA0092,F16C0Y165
P000976,24.7,23.65,1.05,AA0092BODTFB -> AA0226TFBHEM,AA0092,F16C0Y165
P000980,2.0,2.0,0.0,AA0096BODTFB -> AA0328TFBTKD -> AA0226TKDHEM,AA0096 -> AA0328 -> super_AA0226,F16C0Y165 -> F16C0Y165 -> F16C0Y165
P001005,12.25,12.25,0.0,AA0082BODTFB -> BA2506TFBHFH,AA0082 -> BA2506,F16C0Y165 -> F16C0Y165
P001011,0.9,0.9,0.0,AA0082BODTFB -> BA2506TFBHFH,AA0082 -> BA2506,F16C0Y165 -> F16C0Y165
P001025,5.8,5.8,0.0,AA0084BODTFB -> BA2594TFBHFH,AA0084 -> BA2594,F16C0Y165 -> F16C0Y165
P001047,6.65,6.65,0.0,AA0092BODTFB -> AA0694TFBHFH,AA0092 -> AA0694,F16C0Y165 -> F16C0Y165
P001056,0.4,0.4,0.0,AA0096BODTFB -> BA2410TFBHFH,AA0096 -> BA2410,F16C0Y165 -> F16C0Y165
P001069,5.8,5.8,0.0,AA0098BODTFB -> AA0698TFBHFH,AA0098 -> AA0698,F16C0Y165 -> F16C0Y165
P001081,19.9,19.9,0.0,AA0112BODTFB -> BA2372TFBHFH,AA0112 -> BA2372,F16C0Y165 -> F16C0Y165
P001087,12.85,12.85,0.0,AA0112BODTFB -> BA2372TFBHFH,AA0112 -> BA2372,F16C0Y165 -> F16C0Y165
P001098,11.05,11.05,0.0,AA0112BODTFB -> BA2392TFBHFH,AA0112 -> BA2392,F16C0Y165 -> F16C0Y165
P001110,5.65,5.65,0.0,AA0114BODTFB -> BA2392TFBHFH,AA0114 -> BA2392,F16C0Y165 -> F16C0Y165
P001113,5.15,5.15,0.0,AA0120BODTFB -> BA2444TFBHFH,AA0120 -> BA2444,F16C0Y165 -> F16C0Y165
P001154,0.9,0.9,0.0,AA0114BODTFB -> AA0730TFBJBI,AA0114 -> super_AA0730,F16C0Y165 -> F16C0Y165
P001157,13.95,13.95,0.0,AA0062BODKOV,super_AA0062,F16C0Y165
P001158,1.9,1.9,0.0,AA0062BODKOV,super_AA0062,F16C0Y165
P001159,21.2,21.2,0.0,AA0062BODKOV,super_AA0062,F16C0Y165
P001160,11.6,11.6,0.0,AA0062BODKOV,super_AA0062,F16C0Y165
P001161,1.0,0.1,0.9,AA0062BODKOV,super_AA0062,F16C0Y165
P001163,9.5,9.4,0.1,AA0062BODKOV,super_AA0062,F16C0Y165
P001164,24.35,24.35,0.0,AA0062BODKOV,super_AA0062,F16C0Y165
P001165,26.6,26.6,0.0,AA0062BODKOV,super_AA0062,F16C0Y165
P001167,1.9,1.9,0.0,AA0064BODKOV,super_AA0064,F16C0Y165
P001168,7.4,7.4,0.0,AA0064BODKOV,super_AA0064,F16C0Y165
P001169,4.25,4.25,0.0,AA0064BODKOV,super_AA0064,F16C0Y165
P001170,2.5,2.5,0.0,AA0064BODKOV,super_AA0064,F16C0Y165
P001171,13.1,13.1,0.0,AA0064BODKOV,super_AA0064,F16C0Y165
P001172,1.85,1.85,0.0,AA0064BODKOV,super_AA0064,F16C0Y165
P001174,6.0,6.0,0.0,AA0064BODKOV,super_AA0064,F16C0Y165
P001175,16.9,16.9,0.0,AA0064BODKOV,super_AA0064,F16C0Y165
P001176,20.9,20.9,0.0,AA0064BODKOV,super_AA0064,F16C0Y165
P001179,7.9,7.9,0.0,AA0066BODKOV,,
P001181,2.85,2.85,0.0,AA0066BODKOV,,
P001182,2.25,2.25,0.0,AA0066BODKOV,,
P001186,12.9,12.9,0.0,AA0066BODKOV,,
P001187,5.65,5.65,0.0,AA0066BODKOV,,
P001190,11.15,11.15,0.0,AA0070BODKOV,super_AA0070,F16C0Y165
P001192,11.75,11.75,0.0,AA0070BODKOV,super_AA0070,F16C0Y165
P001193,7.5,7.5,0.0,AA0070BODKOV,super_AA0070,F16C0Y165
P001196,23.15,22.95,0.2,AA0070BODKOV,super_AA0070,F16C0Y165
P001197,13.7,13.7,0.0,AA0070BODKOV,super_AA0070,F16C0Y165
P001198,18.05,18.05,0.0,AA0070BODKOV,super_AA0070,F16C0Y165
P001212,5.95,5.95,0.0,AA0062BODLUO,,
P001213,25.65,25.65,0.0,AA0062BODLUO,,
P001214,16.5,16.5,0.0,AA0062BODLUO,,
P001215,5.35,5.35,0.0,AA0062BODLUO,,
P001216,4.9,4.9,0.0,AA0062BODLUO,,
P001220,14.3,14.3,0.0,AA0062BODLUO,,
P001221,4.15,4.15,0.0,AA0064BODLUO,,
P001223,7.0,7.0,0.0,AA0064BODLUO,,
P001224,4.3,4.3,0.0,AA0064BODLUO,,
P001225,13.4,13.4,0.0,AA0064BODLUO,,
P001226,4.7,4.7,0.0,AA0064BODLUO,,
P001231,1.0,1.0,0.0,AA0064BODLUO,,
P001252,11.7,9.9,1.8,AA0080BODTFB -> AA0618TFBMBT,AA0080 -> AA0618,F16C0Y165 -> F16C0Y165
P001274,0.05,0.05,0.0,AA0084BODTFB -> AA0618TFBMBT,AA0084 -> AA0618,F16C0Y165 -> F16C0Y165
P001285,1.45,1.4,0.05,AA0090BODTFB -> AA0614TFBMBT,AA0090 -> AA0614,F16C0Y165 -> F16C0Y165
P001289,5.65,5.4,0.25,AA0092BODTFB -> AA0614TFBMBT,AA0092 -> AA0614,F16C0Y165 -> F16C0Y165
P001301,22.25,22.25,0.0,AA0108BODTFB -> AA0600TFBMBT,AA0108 -> AA0600,F16C0Y165 -> F16C0Y165
P001366,5.85,5.85,0.0,AA0120BODTFB -> AA0610TFBMBT,AA0120 -> AA0610,F16C0Y165 -> F16C0Y165
P001377,0.05,0.05,0.0,AA0120BODTFB -> AA0612TFBMBT,AA0120 -> AA0612,F16C0Y165 -> F16C0Y165
P001395,11.4,11.4,0.0,AA0134BODQEY -> AA0622QEYMBT,AA0134 -> AA0622,F16C0Y165 -> F16C0Y165
P001404,0.05,0.05,0.0,AA0136BODQEY -> AA0620QEYMBT,AA0136 -> AA0620,F16C0Y165 -> F16C0Y165
P001406,11.0,11.0,0.0,AA0136BODQEY -> AA0620QEYMBT,AA0136 -> AA0620,F16C0Y165 -> F16C0Y165
P001410,5.6,5.6,0.0,AA0080BODTFB -> AA0476TFBMBY,AA0080 -> AA0476,F16C0Y165 -> F16C0Y165
P001454,5.35,5.1,0.25,AA0084BODTFB -> AA0476TFBMBY,AA0084 -> AA0476,F16C0Y165 -> F16C0Y165
P001473,0.85,0.85,0.0,AA0090BODTFB -> AA0450TFBMBY,AA0090 -> AA0450,F16C0Y165 -> F16C0Y165
P001487,6.1,6.1,0.0,AA0096BODTFB -> AA0476TFBMBY,AA0096 -> AA0476,F16C0Y165 -> F16C0Y165
